tipo_celular,module_size,DCAF7_MM,DCAF7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.146,42.0,71,4,5.63,2.82 (1.96-3.68),67,94.37,2.61 (2.17-3.04)
T cells 18,518.0,0.133,33.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,932.0,0.084,14.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.164,90.0,353,26,7.37,2.34 (1.72-2.95),327,92.63,4.05 (3.86-4.23)
GABA neurons expressing GLU receptors 22,848.0,0.223,55.0,262,4,1.53,2.17 (0.82-3.51),258,98.47,4.20 (3.95-4.45)
GLU like neurons 17,1316.0,0.095,24.0,101,1,0.99,4.65 (NA-NA),100,99.01,3.03 (2.68-3.38)
da like neurons 11,853.0,0.124,45.0,133,13,9.77,2.05 (1.26-2.85),120,90.23,3.40 (3.07-3.72)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.086,30.0,275,23,8.36,2.02 (1.44-2.60),252,91.64,4.20 (3.94-4.47)
oligodendrocytes 20,322.0,0.052,16.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052.0,0.077,7.0,125,2,1.6,3.81 (2.57-5.04),123,98.4,3.34 (3.01-3.67)
astrocytes 8,1266.0,0.064,30.0,66,13,19.7,1.91 (1.19-2.62),53,80.3,3.62 (3.17-4.06)
oligodendrocyte progenitor cells 12,708.0,0.092,41.0,32,7,21.88,0.94 (-0.08-1.95),25,78.12,3.87 (3.06-4.69)
oligodendrocytes 10,2107.0,0.157,54.0,358,26,7.26,2.39 (1.73-3.04),332,92.74,4.01 (3.82-4.21)
connective tissue cells 21,96.0,0.255,27.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.041,10.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,64.0,0.214,64.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA)
da neurons 6,448.0,0.084,28.0,43,2,4.65,3.48 (2.88-4.07),41,95.35,3.27 (2.72-3.82)
astrocytes microglia 23,125.0,0.324,55.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77)
astrocytes 4,787.0,0.134,20.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.126,74.0,238,3,1.26,4.09 (3.18-4.99),235,98.74,3.63 (3.41-3.85)
microglia 1,813.0,0.091,17.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,1003.0,0.068,18.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921.0,0.138,50.0,200,3,1.5,3.91 (2.46-5.36),197,98.5,3.62 (3.35-3.89)
