tipo_celular,module_size,GREB1L_MM,GREB1L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,156.0,0.36,99.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,823.0,0.211,71.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,637.0,0.126,35.0,91,3,3.3,3.15 (2.52-3.78),88,96.7,4.60 (4.06-5.14)
da like neurons 11,209.0,0.286,75.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,279.0,0.349,84.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,1300.0,0.221,57.0,306,5,1.63,3.25 (2.55-3.95),301,98.37,5.14 (4.87-5.40)
astrocytes 8,140.0,0.219,77.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,1277.0,0.283,100.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.127,82.0,105,0,0.0,NA,105,100.0,3.21 (2.88-3.55)
oligodendrocytes 16,113.0,0.182,53.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,124.0,0.219,4.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA)
astrocytes 4,161.0,0.383,97.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,479.0,0.219,86.0,40,2,5.0,4.03 (3.36-4.70),38,95.0,5.99 (5.47-6.51)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.294,100.0,15,0,0.0,NA,15,100.0,3.31 (1.95-4.68)
oligodendrocytes 2,348.0,0.389,92.0,114,5,4.39,3.25 (2.55-3.95),109,95.61,5.24 (4.82-5.66)
