tipo_celular,module_size,ABCF1_MM,ABCF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,393.0,0.143,44.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,487.0,0.256,65.0,73,4,5.48,1.44 (1.34-1.53),69,94.52,2.84 (2.44-3.24)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.184,51.0,410,21,5.12,3.02 (2.50-3.53),389,94.88,4.34 (4.14-4.53)
GABA neurons expressing GABA receptors 13,101.0,0.179,66.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,916.0,0.122,21.0,302,4,1.32,1.46 (0.54-2.38),298,98.68,4.03 (3.80-4.25)
oligodendrocytes 20,938.0,0.092,33.0,169,12,7.1,2.52 (1.66-3.37),157,92.9,3.57 (3.35-3.79)
GABA like neurons 14,2402.0,0.197,41.0,455,40,8.79,2.50 (1.93-3.07),415,91.21,4.58 (4.40-4.76)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.088,44.0,277,1,0.36,4.81 (NA-NA),276,99.64,3.89 (3.65-4.13)
connective tissue cells 21,142.0,0.31,47.0,55,7,12.73,1.27 (0.54-1.99),48,87.27,4.13 (3.23-5.04)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,122.0,0.232,72.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06)
da neurons 6,409.0,0.122,50.0,235,13,5.53,2.05 (1.67-2.44),222,94.47,4.14 (3.88-4.39)
astrocytes microglia 23,80.0,0.329,56.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.078,4.0,238,8,3.36,2.19 (1.40-2.98),230,96.64,3.69 (3.46-3.91)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,357.0,0.045,6.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,526.0,0.129,9.0,213,1,0.47,3.96 (NA-NA),212,99.53,3.98 (3.70-4.25)
