tipo_celular,module_size,OSGEP_MM,OSGEP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.087,6.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.091,15.0,136,5,3.68,1.83 (1.27-2.40),131,96.32,3.27 (2.99-3.54)
oligodendrocyte progenitor cells 7,4285.0,0.095,7.0,353,35,9.92,1.73 (1.38-2.07),318,90.08,4.21 (4.03-4.38)
GABA neurons expressing GLU receptors 22,567.0,0.213,60.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,94.0,0.064,6.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.154,63.0,125,4,3.2,3.32 (3.05-3.60),121,96.8,3.35 (3.02-3.69)
astrocytes 8,218.0,0.032,7.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303.0,0.066,33.0,276,25,9.06,1.90 (1.57-2.22),251,90.94,3.76 (3.54-3.99)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.042,10.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,108.0,0.341,66.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80)
astrocytes 4,1807.0,0.134,30.0,104,28,26.92,1.82 (1.48-2.15),76,73.08,3.29 (2.97-3.61)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.079,9.0,161,34,21.12,1.69 (1.35-2.04),127,78.88,3.82 (3.55-4.09)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
