tipo_celular,module_size,TSPAN5_MM,TSPAN5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,388.0,0.297,91.0,84,1,1.19,3.61 (NA-NA),83,98.81,2.97 (2.63-3.30)
astrocytes 5,423.0,0.146,47.0,80,2,2.5,2.99 (-0.84-6.82),78,97.5,3.41 (2.93-3.89)
oligodendrocyte progenitor cells 7,229.0,0.225,65.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,459.0,0.164,54.0,165,10,6.06,2.20 (1.60-2.81),155,93.94,5.34 (5.01-5.67)
GLU like neurons 17,1247.0,0.15,62.0,51,1,1.96,2.00 (NA-NA),50,98.04,3.66 (3.08-4.25)
da like neurons 11,153.0,0.287,69.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,288.0,0.181,56.0,93,6,6.45,2.67 (0.38-4.96),87,93.55,5.37 (4.91-5.84)
endothelial cells 9,658.0,0.312,80.0,120,14,11.67,2.94 (2.25-3.62),106,88.33,4.86 (4.55-5.18)
oligodendrocytes 20,676.0,0.395,67.0,110,7,6.36,2.55 (0.84-4.26),103,93.64,5.23 (4.81-5.66)
GABA like neurons 14,1300.0,0.185,39.0,306,23,7.52,3.11 (2.17-4.05),283,92.48,5.33 (5.08-5.58)
astrocytes 8,771.0,0.187,64.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.295,87.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,236.0,0.515,57.0,82,4,4.88,3.24 (2.72-3.75),78,95.12,5.11 (4.57-5.65)
connective tissue cells 21,114.0,0.171,4.0,11,2,18.18,0.79 (0.03-1.55),9,81.82,1.81 (0.52-3.10)
astrocytes 15,268.0,0.134,65.0,10,2,20.0,2.44 (1.43-3.45),8,80.0,4.11 (1.93-6.29)
oligodendrocytes 16,287.0,0.288,46.0,105,9,8.57,2.55 (1.24-3.85),96,91.43,5.45 (5.05-5.85)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,141.0,0.171,7.0,30,1,3.33,2.00 (NA-NA),29,96.67,5.84 (4.98-6.70)
astrocytes 4,514.0,0.159,34.0,95,6,6.32,1.91 (0.65-3.16),89,93.68,3.50 (3.07-3.93)
oligodendrocytes 0,261.0,0.194,56.0,42,9,21.43,1.68 (0.99-2.38),33,78.57,4.99 (4.41-5.57)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,99.0,0.168,23.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19)
oligodendrocytes 2,237.0,0.208,46.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
