tipo_celular,module_size,CADM4_MM,CADM4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.094,19.0,136,1,0.74,1.96 (NA-NA),135,99.26,3.22 (2.95-3.49)
oligodendrocyte progenitor cells 7,628.0,0.194,66.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,703.0,0.229,75.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,75.0,0.138,34.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.202,81.0,169,6,3.55,2.75 (1.04-4.47),163,96.45,3.51 (3.30-3.73)
GABA like neurons 14,2402.0,0.195,40.0,455,8,1.76,2.40 (1.06-3.74),447,98.24,4.39 (4.20-4.58)
astrocytes 8,603.0,0.061,36.0,89,4,4.49,1.87 (0.01-3.72),85,95.51,2.82 (2.46-3.17)
oligodendrocyte progenitor cells 12,1049.0,0.129,67.0,235,2,0.85,6.71 (3.64-9.79),233,99.15,3.79 (3.56-4.02)
oligodendrocytes 10,204.0,0.052,7.0,92,6,6.52,5.99 (4.37-7.61),86,93.48,5.67 (5.17-6.17)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.078,42.0,105,10,9.52,1.57 (0.96-2.18),95,90.48,3.40 (3.06-3.75)
oligodendrocytes 16,113.0,0.17,23.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,96.0,0.297,43.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.144,50.0,104,9,8.65,1.51 (0.82-2.20),95,91.35,3.00 (2.72-3.29)
oligodendrocytes 0,546.0,0.158,43.0,252,9,3.57,2.76 (1.53-3.99),243,96.43,4.16 (3.90-4.41)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.11,79.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,526.0,0.241,45.0,213,2,0.94,4.55 (3.40-5.71),211,99.06,3.97 (3.69-4.25)
