tipo_celular,module_size,TNR_MM,TNR_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,156.0,0.252,91.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.257,95.0,219,30,13.7,5.33 (4.54-6.12),189,86.3,5.19 (4.88-5.49)
GABA neurons expressing GLU receptors 22,599.0,0.276,78.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,685.0,0.148,59.0,135,3,2.22,1.55 (0.38-2.72),132,97.78,3.23 (2.93-3.54)
da like neurons 11,142.0,0.266,62.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,357.0,0.154,47.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.272,78.0,306,46,15.03,4.44 (3.74-5.13),260,84.97,5.25 (4.97-5.53)
astrocytes 8,1266.0,0.186,94.0,66,13,19.7,3.38 (2.42-4.33),53,80.3,3.18 (2.71-3.65)
oligodendrocyte progenitor cells 12,411.0,0.366,84.0,103,20,19.42,5.81 (4.73-6.89),83,80.58,5.49 (5.08-5.89)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.053,19.0,96,7,7.29,5.26 (3.96-6.56),89,92.71,3.45 (2.99-3.91)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,141.0,0.322,80.0,30,13,43.33,5.91 (4.63-7.18),17,56.67,5.31 (4.12-6.50)
astrocytes 4,161.0,0.211,66.0,45,2,4.44,NA,43,95.56,5.28 (4.66-5.91)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
