tipo_celular,module_size,TMEM33_MM,TMEM33_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.376,99.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,388.0,0.101,19.0,84,2,2.38,3.65 (3.57-3.74),82,97.62,2.96 (2.62-3.29)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.14,57.0,353,25,7.08,2.27 (1.57-2.96),328,92.92,4.05 (3.87-4.23)
GABA neurons expressing GLU receptors 22,400.0,0.26,82.0,24,8,33.33,0.87 (0.38-1.35),16,66.67,2.80 (2.33-3.27)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.151,38.0,410,17,4.15,3.65 (2.85-4.44),393,95.85,4.28 (4.09-4.48)
GABA neurons expressing GABA receptors 13,357.0,0.147,41.0,237,3,1.27,4.73 (2.56-6.90),234,98.73,4.40 (4.17-4.64)
endothelial cells 9,1653.0,0.059,3.0,297,2,0.67,3.98 (3.61-4.35),295,99.33,3.67 (3.47-3.88)
oligodendrocytes 20,330.0,0.134,31.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,2402.0,0.197,40.0,455,28,6.15,2.83 (2.14-3.52),427,93.85,4.48 (4.30-4.67)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.062,30.0,276,13,4.71,2.34 (1.66-3.02),263,95.29,3.62 (3.40-3.84)
oligodendrocytes 10,735.0,0.112,59.0,277,6,2.17,6.73 (6.40-7.06),271,97.83,3.81 (3.57-4.05)
connective tissue cells 21,69.0,0.428,98.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,121.0,0.208,50.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,307.0,0.115,46.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,92.0,0.349,66.0,11,1,9.09,4.75 (NA-NA),10,90.91,4.31 (3.69-4.92)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.141,94.0,238,3,1.26,2.16 (-0.01-4.33),235,98.74,3.66 (3.44-3.88)
microglia 1,813.0,0.102,30.0,79,11,13.92,3.55 (2.93-4.18),68,86.08,3.02 (2.56-3.48)
oligodendrocytes 3,743.0,0.074,39.0,76,8,10.53,4.81 (3.79-5.84),68,89.47,2.94 (2.54-3.34)
oligodendrocytes 2,528.0,0.173,32.0,175,18,10.29,4.14 (3.30-4.97),157,89.71,4.42 (4.04-4.81)
