tipo_celular,module_size,ICA1L_MM,ICA1L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.129,46.0,166,2,1.2,0.55 (0.54-0.55),164,98.8,3.43 (3.18-3.68)
oligodendrocyte progenitor cells 7,4285.0,0.106,13.0,353,11,3.12,1.19 (0.59-1.79),342,96.88,4.00 (3.82-4.18)
GABA neurons expressing GLU receptors 22,714.0,0.206,62.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,1247.0,0.106,29.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,132.0,0.213,44.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.131,52.0,169,2,1.18,1.39 (-0.26-3.05),167,98.82,3.51 (3.29-3.73)
GABA like neurons 14,1300.0,0.296,87.0,306,8,2.61,2.15 (1.37-2.93),298,97.39,5.21 (4.95-5.47)
astrocytes 8,727.0,0.058,16.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.102,76.0,276,8,2.9,1.88 (1.29-2.47),268,97.1,3.61 (3.39-3.83)
oligodendrocytes 10,1277.0,0.063,19.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,183.0,0.217,30.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86)
astrocytes 15,1768.0,0.069,32.0,105,3,2.86,1.58 (0.56-2.60),102,97.14,3.26 (2.93-3.60)
oligodendrocytes 16,104.0,0.181,25.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,107.0,0.146,0.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA)
astrocytes 4,752.0,0.166,68.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,309.0,0.121,34.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.127,72.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,804.0,0.162,61.0,84,1,1.19,0.95 (NA-NA),83,98.81,2.71 (2.38-3.05)
