tipo_celular,module_size,NIPAL3_MM,NIPAL3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.341,84.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,518.0,0.208,79.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1656.0,0.09,13.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.122,30.0,353,3,0.85,1.50 (0.57-2.43),350,99.15,3.92 (3.73-4.10)
GABA neurons expressing GLU receptors 22,848.0,0.153,25.0,262,2,0.76,0.92 (0.19-1.65),260,99.24,4.19 (3.95-4.44)
GLU like neurons 17,1247.0,0.061,6.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,200.0,0.092,8.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,266.0,0.147,43.0,118,1,0.85,3.76 (NA-NA),117,99.15,4.75 (4.39-5.10)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,322.0,0.144,60.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052.0,0.134,45.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.14,54.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,3303.0,0.066,34.0,276,5,1.81,1.73 (1.15-2.31),271,98.19,3.59 (3.37-3.80)
oligodendrocytes 10,806.0,0.084,20.0,261,4,1.53,1.86 (1.49-2.23),257,98.47,4.42 (4.18-4.66)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,338.0,0.244,92.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,113.0,0.178,30.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,448.0,0.109,59.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,121.0,0.296,40.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA)
astrocytes 4,1807.0,0.113,7.0,104,2,1.92,1.25 (-0.12-2.62),102,98.08,2.90 (2.61-3.18)
oligodendrocytes 0,187.0,0.147,37.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,1615.0,0.108,47.0,161,2,1.24,1.25 (-0.12-2.62),159,98.76,3.30 (3.03-3.57)
oligodendrocytes 3,187.0,0.077,31.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,348.0,0.15,25.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52)
