tipo_celular,module_size,RECK_MM,RECK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.131,30.0,32,2,6.25,3.12 (2.26-3.98),30,93.75,3.77 (2.94-4.61)
T cells 18,477.0,0.142,37.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141.0,0.115,27.0,166,13,7.83,1.96 (1.29-2.63),153,92.17,3.54 (3.28-3.80)
oligodendrocyte progenitor cells 7,4285.0,0.116,23.0,353,17,4.82,1.93 (1.43-2.43),336,95.18,4.02 (3.83-4.21)
GABA neurons expressing GLU receptors 22,848.0,0.113,9.0,262,14,5.34,2.95 (1.99-3.92),248,94.66,4.26 (4.01-4.51)
GLU like neurons 17,380.0,0.147,33.0,39,1,2.56,3.50 (NA-NA),38,97.44,2.95 (2.38-3.52)
da like neurons 11,94.0,0.147,37.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.112,23.0,62,1,1.61,2.43 (NA-NA),61,98.39,4.08 (3.63-4.53)
oligodendrocytes 20,279.0,0.388,89.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,3052.0,0.164,71.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.07,25.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,3303.0,0.085,59.0,276,14,5.07,1.85 (1.26-2.44),262,94.93,3.66 (3.44-3.88)
oligodendrocytes 10,1277.0,0.182,86.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,95.0,0.274,44.0,4,0,0.0,NA,4,100.0,3.47 (2.36-4.59)
astrocytes 15,1768.0,0.077,41.0,105,12,11.43,1.64 (1.09-2.19),93,88.57,3.43 (3.08-3.78)
oligodendrocytes 16,90.0,0.142,21.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.26,16.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.177,91.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,309.0,0.156,72.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,1615.0,0.137,82.0,161,11,6.83,1.67 (1.00-2.34),150,93.17,3.42 (3.15-3.69)
oligodendrocytes 3,1003.0,0.124,73.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,131.0,0.19,54.0,20,0,0.0,NA,20,100.0,4.51 (3.77-5.25)
