tipo_celular,module_size,SH3PXD2A_MM,SH3PXD2A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.246,81.0,32,3,9.38,3.57 (2.56-4.58),29,90.62,3.74 (2.87-4.61)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,203.0,0.105,4.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,1247.0,0.209,86.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,172.0,0.315,77.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.24,67.0,54,1,1.85,4.29 (NA-NA),53,98.15,4.85 (4.21-5.50)
oligodendrocytes 20,330.0,0.253,77.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,1300.0,0.279,81.0,306,14,4.58,3.51 (2.68-4.34),292,95.42,5.21 (4.94-5.48)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,1277.0,0.098,43.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,78.0,0.257,52.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,199.0,0.22,79.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,553.0,0.109,34.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,111.0,0.376,90.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,479.0,0.154,53.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,346.0,0.442,99.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,639.0,0.218,95.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,804.0,0.295,100.0,84,4,4.76,1.57 (-0.24-3.38),80,95.24,2.76 (2.42-3.09)
