tipo_celular,module_size,LRRC58_MM,LRRC58_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.11,17.0,71,1,1.41,0.21 (NA-NA),70,98.59,2.66 (2.25-3.07)
T cells 18,477.0,0.135,33.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656.0,0.126,68.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.15,73.0,353,1,0.28,0.21 (NA-NA),352,99.72,3.90 (3.72-4.09)
GABA neurons expressing GLU receptors 22,599.0,0.294,84.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,1316.0,0.11,38.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,408.0,0.082,13.0,25,3,12.0,0.90 (0.75-1.04),22,88.0,5.27 (3.96-6.58)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.084,13.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,271.0,0.107,17.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,3052.0,0.163,70.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,354.0,0.074,22.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,411.0,0.03,5.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,483.0,0.106,46.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,110.0,0.252,41.0,13,0,0.0,NA,13,100.0,3.11 (2.29-3.94)
astrocytes 15,1401.0,0.052,18.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,74.0,0.115,7.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,54.0,0.341,61.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.159,77.0,104,1,0.96,0.21 (NA-NA),103,99.04,2.89 (2.61-3.17)
oligodendrocytes 0,613.0,0.135,43.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,1615.0,0.102,38.0,161,1,0.62,0.21 (NA-NA),160,99.38,3.30 (3.03-3.56)
oligodendrocytes 3,743.0,0.08,48.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528.0,0.207,54.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73)
