tipo_celular,module_size,CADPS2_MM,CADPS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.147,12.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.145,70.0,166,8,4.82,1.93 (1.10-2.75),158,95.18,3.48 (3.23-3.74)
oligodendrocyte progenitor cells 7,666.0,0.166,50.0,127,9,7.09,2.10 (1.28-2.92),118,92.91,4.03 (3.70-4.37)
GABA neurons expressing GLU receptors 22,1069.0,0.292,99.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,191.0,0.38,72.0,93,5,5.38,5.07 (3.70-6.43),88,94.62,5.69 (5.27-6.12)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.347,86.0,120,2,1.67,3.13 (0.91-5.35),118,98.33,4.64 (4.32-4.95)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.091,12.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,283.0,0.278,96.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.139,97.0,276,13,4.71,2.13 (1.70-2.56),263,95.29,3.63 (3.41-3.86)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,114.0,0.179,7.0,11,2,18.18,0.79 (0.03-1.55),9,81.82,1.81 (0.52-3.10)
astrocytes 15,261.0,0.1,22.0,8,3,37.5,1.64 (-0.94-4.21),5,62.5,5.21 (3.18-7.24)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,409.0,0.171,71.0,235,3,1.28,2.29 (2.29-2.29),232,98.72,4.01 (3.75-4.26)
astrocytes microglia 23,255.0,0.202,12.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01)
astrocytes 4,201.0,0.187,63.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,214.0,0.126,23.0,227,5,2.2,3.94 (2.92-4.97),222,97.8,4.10 (3.85-4.34)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
