tipo_celular,module_size,TBL1X_MM,TBL1X_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.319,92.0,73,5,6.85,3.85 (3.44-4.27),68,93.15,3.54 (3.16-3.91)
T cells 18,624.0,0.226,90.0,142,3,2.11,4.52 (3.99-5.05),139,97.89,3.18 (2.91-3.45)
astrocytes 5,156.0,0.114,25.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.172,94.0,353,74,20.96,2.46 (2.18-2.74),279,79.04,4.42 (4.24-4.61)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.196,76.0,135,38,28.15,2.19 (1.87-2.50),97,71.85,3.69 (3.31-4.08)
da like neurons 11,408.0,0.129,34.0,25,6,24.0,1.31 (0.53-2.09),19,76.0,6.03 (4.79-7.27)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.163,75.0,297,5,1.68,4.93 (4.47-5.39),292,98.32,3.65 (3.45-3.86)
oligodendrocytes 20,271.0,0.353,91.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,3052.0,0.105,21.0,125,2,1.6,4.15 (3.35-4.95),123,98.4,3.34 (3.01-3.66)
astrocytes 8,354.0,0.074,21.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,708.0,0.152,67.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107.0,0.236,79.0,358,90,25.14,2.54 (2.28-2.81),268,74.86,4.53 (4.34-4.72)
connective tissue cells 21,95.0,0.212,15.0,4,3,75.0,2.91 (2.68-3.14),1,25.0,5.16 (NA-NA)
astrocytes 15,1401.0,0.143,87.0,96,7,7.29,2.40 (1.58-3.22),89,92.71,3.73 (3.25-4.21)
oligodendrocytes 16,199.0,0.152,34.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,253.0,0.291,74.0,47,12,25.53,3.10 (2.45-3.76),35,74.47,2.74 (2.36-3.12)
astrocytes 4,171.0,0.088,4.0,22,1,4.55,2.54 (NA-NA),21,95.45,4.67 (3.72-5.61)
oligodendrocytes 0,309.0,0.128,42.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,1615.0,0.108,47.0,161,66,40.99,2.38 (2.09-2.67),95,59.01,4.17 (3.83-4.50)
oligodendrocytes 3,639.0,0.126,72.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53)
oligodendrocytes 2,347.0,0.224,62.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
