tipo_celular,module_size,SPARC_MM,SPARC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.286,80.0,98,10,10.2,4.90 (3.16-6.64),88,89.8,4.56 (4.16-4.96)
oligodendrocyte progenitor cells 7,628.0,0.233,78.0,164,14,8.54,3.98 (3.26-4.70),150,91.46,4.10 (3.74-4.45)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.297,92.0,135,12,8.89,1.92 (1.39-2.46),123,91.11,3.34 (3.01-3.66)
da like neurons 11,408.0,0.184,55.0,25,7,28.0,1.86 (0.60-3.12),18,72.0,6.10 (4.77-7.43)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.298,82.0,155,11,7.1,5.44 (4.57-6.32),144,92.9,4.23 (3.85-4.62)
oligodendrocytes 20,938.0,0.244,89.0,169,19,11.24,2.95 (2.23-3.68),150,88.76,3.54 (3.31-3.77)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,279.0,0.268,45.0,78,13,16.67,3.09 (2.48-3.70),65,83.33,4.61 (4.15-5.07)
oligodendrocyte progenitor cells 12,3303.0,0.048,13.0,276,11,3.99,1.79 (1.35-2.24),265,96.01,3.64 (3.42-3.86)
oligodendrocytes 10,1277.0,0.086,35.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,301.0,0.215,9.0,158,30,18.99,4.50 (3.71-5.28),128,81.01,4.19 (3.77-4.60)
astrocytes 15,208.0,0.555,96.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,158.0,0.186,41.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,166.0,0.378,81.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,255.0,0.272,91.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,546.0,0.159,44.0,252,31,12.3,2.42 (1.79-3.04),221,87.7,4.34 (4.10-4.59)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.103,34.0,154,1,0.65,2.97 (NA-NA),153,99.35,3.62 (3.31-3.94)
oligodendrocytes 2,528.0,0.427,96.0,175,18,10.29,3.23 (2.60-3.86),157,89.71,4.51 (4.14-4.89)
