tipo_celular,module_size,BRINP3_MM,BRINP3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.132,50.0,166,4,2.41,2.10 (0.85-3.35),162,97.59,3.43 (3.17-3.68)
oligodendrocyte progenitor cells 7,436.0,0.123,46.0,219,19,8.68,4.78 (3.85-5.72),200,91.32,5.26 (4.96-5.56)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,795.0,0.188,74.0,80,3,3.75,6.59 (4.41-8.76),77,96.25,5.63 (5.21-6.05)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.232,61.0,306,27,8.82,3.88 (2.97-4.79),279,91.18,5.24 (4.98-5.51)
astrocytes 8,1266.0,0.083,51.0,66,9,13.64,3.30 (1.91-4.70),57,86.36,3.21 (2.78-3.64)
oligodendrocyte progenitor cells 12,411.0,0.362,82.0,103,9,8.74,5.07 (3.11-7.03),94,91.26,5.59 (5.20-5.98)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.165,96.0,105,3,2.86,1.83 (0.23-3.42),102,97.14,3.26 (2.92-3.60)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,49.0,0.376,69.0,1,0,0.0,NA,1,100.0,6.09 (NA-NA)
astrocytes 4,220.0,0.228,82.0,63,13,20.63,4.04 (3.27-4.81),50,79.37,5.45 (4.79-6.11)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
