tipo_celular,module_size,KCNA2_MM,KCNA2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.116,61.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.122,30.0,353,6,1.7,1.56 (0.48-2.64),347,98.3,3.94 (3.76-4.13)
GABA neurons expressing GLU receptors 22,823.0,0.137,24.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1316.0,0.161,79.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,1220.0,0.108,19.0,410,14,3.41,2.24 (1.79-2.70),396,96.59,4.34 (4.15-4.53)
GABA neurons expressing GABA receptors 13,266.0,0.337,96.0,118,31,26.27,4.32 (3.89-4.76),87,73.73,4.91 (4.44-5.37)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.219,47.0,455,5,1.1,2.35 (0.92-3.78),450,98.9,4.37 (4.19-4.56)
astrocytes 8,1266.0,0.053,18.0,66,3,4.55,1.08 (0.07-2.09),63,95.45,3.35 (2.93-3.76)
oligodendrocyte progenitor cells 12,1049.0,0.09,48.0,235,1,0.43,1.29 (NA-NA),234,99.57,3.84 (3.61-4.07)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443.0,0.241,92.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.169,89.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,111.0,0.269,22.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,251.0,0.176,60.0,34,5,14.71,3.49 (2.12-4.87),29,85.29,5.69 (5.14-6.24)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
