tipo_celular,module_size,DCAF5_MM,DCAF5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.161,53.0,19,1,5.26,4.44 (NA-NA),18,94.74,2.41 (1.69-3.14)
T cells 18,610.0,0.144,43.0,98,22,22.45,1.53 (1.10-1.96),76,77.55,3.65 (3.34-3.95)
astrocytes 5,1141.0,0.133,53.0,166,21,12.65,2.23 (1.72-2.74),145,87.35,3.60 (3.33-3.87)
oligodendrocyte progenitor cells 7,4285.0,0.171,94.0,353,31,8.78,1.93 (1.47-2.38),322,91.22,4.14 (3.96-4.32)
GABA neurons expressing GLU receptors 22,567.0,0.207,55.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,1316.0,0.179,88.0,101,1,0.99,4.65 (NA-NA),100,99.01,3.03 (2.68-3.38)
da like neurons 11,94.0,0.083,17.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.148,66.0,297,2,0.67,4.54 (4.34-4.75),295,99.33,3.67 (3.46-3.87)
oligodendrocytes 20,938.0,0.035,6.0,169,3,1.78,0.69 (0.05-1.34),166,98.22,3.54 (3.33-3.75)
GABA like neurons 14,1300.0,0.127,15.0,306,6,1.96,1.26 (0.53-2.00),300,98.04,5.21 (4.95-5.46)
astrocytes 8,218.0,0.072,40.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303.0,0.107,81.0,276,23,8.33,2.14 (1.66-2.62),253,91.67,3.71 (3.49-3.94)
oligodendrocytes 10,2107.0,0.194,67.0,358,35,9.78,1.96 (1.48-2.43),323,90.22,4.15 (3.97-4.33)
connective tissue cells 21,84.0,0.218,29.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60)
astrocytes 15,377.0,0.092,12.0,14,5,35.71,1.37 (0.15-2.58),9,64.29,2.90 (0.82-4.99)
oligodendrocytes 16,71.0,0.171,43.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,190.0,0.233,27.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92)
astrocytes 4,752.0,0.13,18.0,96,5,5.21,2.94 (2.24-3.65),91,94.79,3.31 (2.96-3.66)
oligodendrocytes 0,1186.0,0.142,45.0,300,2,0.67,3.19 (1.91-4.46),298,99.33,3.80 (3.59-4.00)
microglia 1,958.0,0.093,22.0,290,5,1.72,1.59 (0.75-2.44),285,98.28,3.86 (3.63-4.09)
oligodendrocytes 3,854.0,0.087,46.0,76,2,2.63,2.43 (-1.93-6.79),74,97.37,2.79 (2.46-3.12)
oligodendrocytes 2,921.0,0.136,47.0,200,3,1.5,3.05 (1.16-4.94),197,98.5,3.63 (3.36-3.90)
