tipo_celular,module_size,ECE1_MM,ECE1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,624.0,0.158,54.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,423.0,0.209,78.0,80,3,3.75,2.99 (-0.84-6.82),77,96.25,3.41 (2.93-3.89)
oligodendrocyte progenitor cells 7,200.0,0.204,63.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.157,64.0,135,27,20.0,1.87 (1.51-2.23),108,80.0,3.52 (3.18-3.86)
da like neurons 11,408.0,0.089,16.0,25,6,24.0,0.98 (0.44-1.52),19,76.0,5.82 (4.60-7.04)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.285,76.0,54,1,1.85,6.49 (NA-NA),53,98.15,4.79 (4.15-5.42)
oligodendrocytes 20,233.0,0.237,71.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,2090.0,0.18,68.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,577.0,0.149,81.0,83,5,6.02,2.55 (0.85-4.25),78,93.98,3.30 (2.83-3.76)
oligodendrocyte progenitor cells 12,3303.0,0.059,24.0,276,24,8.7,2.08 (1.62-2.54),252,91.3,3.72 (3.50-3.95)
oligodendrocytes 10,1277.0,0.093,40.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,92.0,0.263,37.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.181,95.0,96,3,3.12,1.90 (1.73-2.07),93,96.88,3.68 (3.22-4.14)
oligodendrocytes 16,85.0,0.182,33.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,61.0,0.256,27.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514.0,0.189,53.0,95,8,8.42,2.24 (0.99-3.48),87,91.58,3.49 (3.05-3.93)
oligodendrocytes 0,2078.0,0.149,98.0,238,5,2.1,2.26 (1.23-3.29),233,97.9,3.67 (3.45-3.89)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.146,85.0,87,15,17.24,1.48 (1.07-1.89),72,82.76,2.84 (2.55-3.12)
oligodendrocytes 2,348.0,0.215,57.0,114,10,8.77,3.45 (2.78-4.11),104,91.23,5.35 (4.92-5.78)
