tipo_celular,module_size,PHTF2_MM,PHTF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.163,26.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,624.0,0.166,61.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656.0,0.123,62.0,136,1,0.74,3.74 (NA-NA),135,99.26,3.20 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.163,89.0,353,7,1.98,0.76 (0.25-1.27),346,98.02,3.97 (3.79-4.15)
GABA neurons expressing GLU receptors 22,703.0,0.264,89.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1316.0,0.095,24.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,109.0,0.263,67.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.126,48.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,295.0,0.177,45.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052.0,0.185,85.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.119,49.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.147,63.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64)
oligodendrocytes 10,2107.0,0.236,79.0,358,6,1.68,0.51 (0.32-0.70),352,98.32,3.94 (3.75-4.12)
connective tissue cells 21,106.0,0.279,50.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,1768.0,0.093,56.0,105,2,1.9,2.99 (1.51-4.47),103,98.1,3.22 (2.88-3.56)
oligodendrocytes 16,112.0,0.211,77.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.236,7.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77)
astrocytes 4,1807.0,0.15,60.0,104,2,1.92,2.14 (-0.99-5.28),102,98.08,2.88 (2.60-3.16)
oligodendrocytes 0,309.0,0.184,83.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,1615.0,0.1,36.0,161,6,3.73,0.51 (0.32-0.70),155,96.27,3.40 (3.14-3.66)
oligodendrocytes 3,639.0,0.104,57.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,804.0,0.167,67.0,84,1,1.19,0.95 (NA-NA),83,98.81,2.71 (2.38-3.05)
