tipo_celular,module_size,TPCN2_MM,TPCN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.119,55.0,136,1,0.74,2.91 (NA-NA),135,99.26,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.168,92.0,353,33,9.35,2.55 (1.90-3.21),320,90.65,4.07 (3.89-4.25)
GABA neurons expressing GLU receptors 22,714.0,0.226,71.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,229.0,0.241,76.0,22,6,27.27,4.06 (4.04-4.08),16,72.73,1.94 (1.31-2.57)
da like neurons 11,215.0,0.107,16.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.199,79.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.062,28.0,66,12,18.18,1.40 (0.64-2.17),54,81.82,3.71 (3.33-4.09)
oligodendrocyte progenitor cells 12,708.0,0.121,56.0,32,14,43.75,1.77 (1.06-2.48),18,56.25,4.53 (3.52-5.53)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,104.0,0.333,74.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.108,70.0,105,16,15.24,2.65 (1.81-3.49),89,84.76,3.32 (2.96-3.69)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,57.0,0.257,17.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.171,91.0,104,11,10.58,2.25 (1.35-3.15),93,89.42,2.94 (2.65-3.23)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
