tipo_celular,module_size,CCDC6_MM,CCDC6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181,0.263,80.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,477,0.106,13.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141,0.099,13.0,166,1,0.6,0.55 (NA-NA),165,99.4,3.41 (3.16-3.66)
oligodendrocyte progenitor cells 7,4285,0.145,65.0,353,5,1.42,1.45 (0.29-2.61),348,98.58,3.93 (3.75-4.12)
GABA neurons expressing GLU receptors 22,1069,0.151,40.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,489,0.252,86.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,172,0.275,62.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,266,0.098,11.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,338,0.078,18.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,676,0.051,22.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,3052,0.124,37.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266,0.075,43.0,66,2,3.03,2.24 (-0.28-4.75),64,96.97,3.26 (2.84-3.69)
oligodendrocyte progenitor cells 12,3303,0.08,51.0,276,3,1.09,1.25 (-0.12-2.62),273,98.91,3.56 (3.35-3.78)
oligodendrocytes 10,806,0.131,40.0,261,1,0.38,5.16 (NA-NA),260,99.62,4.36 (4.12-4.60)
connective tissue cells 21,78,0.282,62.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768,0.087,50.0,105,2,1.9,1.25 (-0.12-2.62),103,98.1,3.25 (2.92-3.59)
oligodendrocytes 16,121,0.267,80.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,228,0.12,68.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,86,0.22,6.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
astrocytes 4,255,0.115,7.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,2078,0.11,41.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,1615,0.099,34.0,161,5,3.11,1.45 (0.29-2.61),156,96.89,3.34 (3.08-3.61)
oligodendrocytes 3,854,0.06,15.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,1630,0.119,13.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
