tipo_celular,module_size,PCBP3_MM,PCBP3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.122,29.0,353,33,9.35,1.51 (1.21-1.81),320,90.65,4.21 (4.04-4.38)
GABA neurons expressing GLU receptors 22,823.0,0.129,20.0,23,2,8.7,2.03 (0.03-4.04),21,91.3,2.44 (1.65-3.24)
GLU like neurons 17,795.0,0.236,84.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,853.0,0.152,64.0,133,28,21.05,1.53 (1.22-1.84),105,78.95,3.80 (3.47-4.12)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.57,95.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,403.0,0.084,37.0,18,9,50.0,1.00 (0.42-1.57),9,50.0,2.76 (1.82-3.70)
GABA like neurons 14,2090.0,0.163,57.0,74,6,8.11,1.86 (1.58-2.15),68,91.89,3.05 (2.65-3.46)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.064,20.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,1277.0,0.103,47.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,84.0,0.237,39.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,90.0,0.198,47.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,1186.0,0.116,13.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.086,21.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347.0,0.181,44.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
