tipo_celular,module_size,GTPBP1_MM,GTPBP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,477.0,0.29,94.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.072,6.0,141,4,2.84,2.07 (-0.22-4.36),137,97.16,2.99 (2.75-3.23)
oligodendrocytes 20,358.0,0.054,20.0,31,2,6.45,3.01 (2.80-3.22),29,93.55,2.31 (1.85-2.77)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,2107.0,0.053,6.0,358,58,16.2,2.60 (2.20-3.01),300,83.8,4.21 (4.02-4.41)
connective tissue cells 21,152.0,0.266,59.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,91.0,0.189,35.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,108.0,0.352,70.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.119,58.0,238,23,9.66,3.64 (2.97-4.31),215,90.34,3.64 (3.40-3.87)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.089,43.0,111,8,7.21,4.93 (4.05-5.81),103,92.79,3.16 (2.81-3.51)
oligodendrocytes 2,1630.0,0.151,68.0,154,5,3.25,2.93 (2.42-3.44),149,96.75,3.26 (2.98-3.53)
