tipo_celular,module_size,SCN9A_MM,SCN9A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.137,55.0,219,38,17.35,4.14 (3.74-4.53),181,82.65,5.50 (5.17-5.83)
GABA neurons expressing GLU receptors 22,703.0,0.211,65.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,489.0,0.21,81.0,42,3,7.14,4.33 (4.33-4.33),39,92.86,6.11 (5.54-6.68)
da like neurons 11,132.0,0.305,62.0,12,10,83.33,4.14 (3.37-4.92),2,16.67,5.90 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.186,40.0,306,48,15.69,3.75 (3.28-4.22),258,84.31,5.44 (5.15-5.72)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,254.0,0.457,93.0,37,2,5.41,2.53 (2.34-2.73),35,94.59,4.63 (4.04-5.22)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.064,7.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
