tipo_celular,module_size,OTULIN_MM,OTULIN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.216,53.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,518.0,0.161,56.0,131,1,0.76,2.25 (NA-NA),130,99.24,3.08 (2.80-3.36)
astrocytes 5,423.0,0.151,50.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,666.0,0.251,85.0,127,14,11.02,2.50 (1.90-3.10),113,88.98,4.09 (3.73-4.45)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.093,10.0,120,31,25.83,4.15 (3.55-4.74),89,74.17,4.79 (4.43-5.16)
oligodendrocytes 20,298.0,0.114,42.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052.0,0.151,61.0,125,2,1.6,3.00 (NA-NA),123,98.4,3.36 (3.03-3.68)
astrocytes 8,577.0,0.131,74.0,83,6,7.23,2.22 (1.54-2.89),77,92.77,3.35 (2.87-3.83)
oligodendrocyte progenitor cells 12,3303.0,0.051,16.0,276,38,13.77,2.31 (1.89-2.74),238,86.23,3.80 (3.56-4.03)
oligodendrocytes 10,2107.0,0.133,44.0,358,47,13.13,2.29 (1.84-2.73),311,86.87,4.17 (3.99-4.36)
connective tissue cells 21,84.0,0.271,58.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60)
astrocytes 15,261.0,0.046,9.0,8,2,25.0,1.89 (-1.31-5.09),6,75.0,4.39 (1.96-6.83)
oligodendrocytes 16,69.0,0.504,100.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.262,24.0,120,38,31.67,2.80 (2.40-3.20),82,68.33,4.12 (3.75-4.48)
astrocytes 4,514.0,0.233,71.0,95,5,5.26,1.30 (0.81-1.78),90,94.74,3.52 (3.09-3.95)
oligodendrocytes 0,2078.0,0.104,29.0,238,21,8.82,3.26 (2.51-4.01),217,91.18,3.67 (3.44-3.90)
microglia 1,958.0,0.17,95.0,290,9,3.1,1.86 (1.33-2.38),281,96.9,3.89 (3.66-4.12)
oligodendrocytes 3,1003.0,0.053,8.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.15,66.0,154,2,1.3,NA,152,98.7,3.24 (2.98-3.51)
