tipo_celular,module_size,MAP4K5_MM,MAP4K5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.258,72.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,349.0,0.283,76.0,68,5,7.35,1.55 (0.76-2.34),63,92.65,4.67 (4.13-5.21)
astrocytes 5,1141.0,0.185,97.0,166,7,4.22,2.59 (1.33-3.85),159,95.78,3.43 (3.18-3.69)
oligodendrocyte progenitor cells 7,229.0,0.079,8.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,567.0,0.322,83.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,637.0,0.287,80.0,91,5,5.49,1.38 (0.16-2.59),86,94.51,4.79 (4.28-5.30)
da like neurons 11,408.0,0.282,71.0,25,5,20.0,0.98 (0.44-1.52),20,80.0,5.82 (4.60-7.04)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.362,75.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676.0,0.216,45.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58)
GABA like neurons 14,1300.0,0.151,23.0,306,21,6.86,2.60 (2.05-3.14),285,93.14,5.38 (5.12-5.63)
astrocytes 8,771.0,0.388,87.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.185,72.0,32,3,9.38,2.29 (0.29-4.29),29,90.62,3.36 (2.49-4.23)
oligodendrocytes 10,204.0,0.386,34.0,92,2,2.17,2.53 (2.34-2.73),90,97.83,5.82 (5.36-6.28)
connective tissue cells 21,250.0,0.2,17.0,117,3,2.56,2.12 (1.30-2.94),114,97.44,5.49 (5.10-5.88)
astrocytes 15,458.0,0.18,81.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,287.0,0.189,23.0,105,5,4.76,1.55 (0.76-2.34),100,95.24,5.35 (4.94-5.76)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,166.0,0.242,31.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,255.0,0.252,88.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,613.0,0.111,16.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,127.0,0.162,41.0,24,2,8.33,2.53 (2.34-2.73),22,91.67,5.48 (4.84-6.12)
oligodendrocytes 3,681.0,0.114,66.0,87,3,3.45,2.01 (0.32-3.69),84,96.55,2.61 (2.33-2.88)
oligodendrocytes 2,348.0,0.106,5.0,114,3,2.63,2.92 (2.15-3.69),111,97.37,5.20 (4.78-5.61)
