tipo_celular,module_size,HS2ST1_MM,HS2ST1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.15,45.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,477.0,0.193,70.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141.0,0.117,30.0,166,8,4.82,1.16 (0.52-1.80),158,95.18,3.53 (3.28-3.77)
oligodendrocyte progenitor cells 7,666.0,0.174,56.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17)
GABA neurons expressing GLU receptors 22,823.0,0.211,71.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,1316.0,0.102,31.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,200.0,0.322,86.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,348.0,0.066,34.0,33,1,3.03,2.68 (NA-NA),32,96.97,2.74 (2.23-3.24)
GABA like neurons 14,2090.0,0.146,44.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,577.0,0.067,34.0,83,1,1.2,2.53 (NA-NA),82,98.8,3.26 (2.81-3.72)
oligodendrocyte progenitor cells 12,3303.0,0.052,18.0,276,11,3.99,1.64 (1.14-2.14),265,96.01,3.65 (3.43-3.87)
oligodendrocytes 10,2107.0,0.319,91.0,358,18,5.03,1.21 (0.78-1.63),340,94.97,4.05 (3.87-4.24)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.128,83.0,105,13,12.38,1.49 (1.07-1.91),92,87.62,3.48 (3.13-3.83)
oligodendrocytes 16,90.0,0.211,59.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,78.0,0.234,6.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54)
astrocytes 4,721.0,0.117,6.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078.0,0.097,17.0,238,4,1.68,2.18 (0.85-3.51),234,98.32,3.67 (3.44-3.89)
microglia 1,346.0,0.132,38.0,43,1,2.33,4.56 (NA-NA),42,97.67,3.74 (3.23-4.26)
oligodendrocytes 3,681.0,0.063,18.0,87,10,11.49,1.10 (0.77-1.44),77,88.51,2.79 (2.52-3.07)
oligodendrocytes 2,1630.0,0.099,3.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
