tipo_celular,module_size,CACNA2D1_MM,CACNA2D1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.158,83.0,166,1,0.6,0.21 (NA-NA),165,99.4,3.41 (3.16-3.66)
oligodendrocyte progenitor cells 7,436.0,0.068,12.0,219,44,20.09,4.18 (3.91-4.44),175,79.91,5.57 (5.22-5.92)
GABA neurons expressing GLU receptors 22,714.0,0.162,39.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,489.0,0.305,91.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,109.0,0.393,91.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.324,71.0,62,3,4.84,3.62 (2.45-4.79),59,95.16,4.07 (3.60-4.54)
oligodendrocytes 20,676.0,0.563,85.0,110,7,6.36,2.66 (0.90-4.42),103,93.64,5.22 (4.79-5.65)
GABA like neurons 14,1300.0,0.128,16.0,306,61,19.93,3.62 (3.26-3.97),245,80.07,5.66 (5.37-5.95)
astrocytes 8,771.0,0.246,74.0,48,2,4.17,3.09 (-1.42-7.60),46,95.83,4.50 (3.74-5.27)
oligodendrocyte progenitor cells 12,411.0,0.166,55.0,103,14,13.59,4.13 (3.71-4.56),89,86.41,5.83 (5.40-6.25)
oligodendrocytes 10,236.0,0.525,59.0,82,1,1.22,5.39 (NA-NA),81,98.78,4.99 (4.46-5.52)
connective tissue cells 21,111.0,0.228,16.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00)
astrocytes 15,1768.0,0.139,88.0,105,2,1.9,0.50 (-0.07-1.07),103,98.1,3.27 (2.94-3.60)
oligodendrocytes 16,287.0,0.304,50.0,105,10,9.52,2.61 (1.40-3.82),95,90.48,5.49 (5.09-5.89)
da neurons 6,448.0,0.247,98.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,125.0,0.179,2.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.175,83.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,261.0,0.152,29.0,42,7,16.67,2.66 (0.90-4.42),35,83.33,4.45 (3.77-5.13)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,99.0,0.19,30.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19)
oligodendrocytes 2,237.0,0.209,46.0,26,1,3.85,6.67 (NA-NA),25,96.15,5.06 (4.07-6.04)
