tipo_celular,module_size,ENO4_MM,ENO4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,322.0,0.44,98.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,1277.0,0.096,42.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,155.0,0.243,66.0,8,0,0.0,NA,8,100.0,2.72 (-0.13-5.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,99.0,0.274,29.0,3,0,0.0,NA,3,100.0,1.85 (0.77-2.94)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,86.0,0.35,98.0,2,0,0.0,NA,2,100.0,NA
microglia 1,1615.0,0.129,75.0,161,11,6.83,1.50 (0.82-2.18),150,93.17,3.43 (3.16-3.70)
oligodendrocytes 3,743.0,0.194,97.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528.0,0.123,9.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73)
