tipo_celular,module_size,WDR43_MM,WDR43_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.106,14.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,610.0,0.082,6.0,98,37,37.76,1.86 (1.51-2.21),61,62.24,3.88 (3.55-4.20)
astrocytes 5,1656.0,0.112,43.0,136,13,9.56,2.80 (2.04-3.57),123,90.44,3.26 (2.97-3.55)
oligodendrocyte progenitor cells 7,4285.0,0.161,86.0,353,67,18.98,2.25 (1.94-2.55),286,81.02,4.37 (4.19-4.54)
GABA neurons expressing GLU receptors 22,567.0,0.233,66.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,1316.0,0.105,33.0,101,3,2.97,2.84 (2.81-2.86),98,97.03,3.06 (2.70-3.42)
da like neurons 11,102.0,0.171,28.0,8,0,0.0,NA,8,100.0,2.36 (0.98-3.74)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.087,10.0,141,8,5.67,1.90 (1.32-2.48),133,94.33,3.03 (2.78-3.28)
oligodendrocytes 20,938.0,0.025,2.0,169,13,7.69,3.12 (1.65-4.58),156,92.31,3.51 (3.30-3.72)
GABA like neurons 14,2402.0,0.075,4.0,455,32,7.03,2.42 (1.70-3.15),423,92.97,4.54 (4.36-4.71)
astrocytes 8,283.0,0.056,14.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.066,34.0,276,55,19.93,2.17 (1.91-2.43),221,80.07,3.97 (3.73-4.21)
oligodendrocytes 10,2107.0,0.332,93.0,358,73,20.39,2.09 (1.83-2.34),285,79.61,4.46 (4.29-4.64)
connective tissue cells 21,118.0,0.342,68.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,1401.0,0.057,22.0,96,5,5.21,1.77 (1.58-1.95),91,94.79,3.74 (3.27-4.20)
oligodendrocytes 16,94.0,0.081,2.0,5,1,20.0,3.65 (NA-NA),4,80.0,2.64 (1.13-4.14)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,51.0,0.461,100.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.15,60.0,104,31,29.81,2.07 (1.63-2.50),73,70.19,3.24 (2.92-3.56)
oligodendrocytes 0,2078.0,0.122,66.0,238,18,7.56,2.83 (2.32-3.34),220,92.44,3.72 (3.48-3.95)
microglia 1,813.0,0.176,88.0,79,5,6.33,5.56 (4.50-6.61),74,93.67,2.92 (2.53-3.31)
oligodendrocytes 3,743.0,0.082,51.0,76,1,1.32,2.44 (NA-NA),75,98.68,3.17 (2.77-3.57)
oligodendrocytes 2,1630.0,0.126,21.0,154,9,5.84,4.61 (3.93-5.29),145,94.16,3.15 (2.87-3.42)
