tipo_celular,module_size,DGKD_MM,DGKD_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.288,80.0,102,23,22.55,2.48 (1.85-3.11),79,77.45,3.78 (3.37-4.19)
T cells 18,477.0,0.254,90.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,423.0,0.148,49.0,80,2,2.5,2.41 (-0.28-5.09),78,97.5,3.43 (2.95-3.91)
oligodendrocyte progenitor cells 7,4285.0,0.147,68.0,353,33,9.35,2.60 (1.88-3.33),320,90.65,4.06 (3.88-4.24)
GABA neurons expressing GLU receptors 22,1069.0,0.146,36.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,380.0,0.121,16.0,39,1,2.56,2.06 (NA-NA),38,97.44,2.99 (2.43-3.56)
da like neurons 11,59.0,0.214,45.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,358.0,0.231,79.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,3052.0,0.146,57.0,125,4,3.2,6.40 (5.17-7.63),121,96.8,3.22 (2.92-3.53)
astrocytes 8,727.0,0.065,22.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.102,76.0,276,31,11.23,3.41 (2.66-4.16),245,88.77,3.56 (3.34-3.79)
oligodendrocytes 10,2107.0,0.219,75.0,358,31,8.66,1.82 (1.32-2.32),327,91.34,4.12 (3.94-4.30)
connective tissue cells 21,100.0,0.362,85.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.096,60.0,96,7,7.29,3.21 (2.26-4.17),89,92.71,3.65 (3.17-4.14)
oligodendrocytes 16,156.0,0.186,41.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.278,22.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,721.0,0.134,18.0,61,4,6.56,3.16 (1.50-4.82),57,93.44,2.95 (2.52-3.38)
oligodendrocytes 0,479.0,0.118,20.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,480.0,0.319,88.0,163,19,11.66,3.71 (3.21-4.21),144,88.34,3.71 (3.41-4.00)
oligodendrocytes 3,639.0,0.109,61.0,15,10,66.67,2.99 (1.47-4.52),5,33.33,4.38 (1.08-7.68)
oligodendrocytes 2,804.0,0.163,62.0,84,11,13.1,2.26 (1.39-3.12),73,86.9,2.76 (2.40-3.13)
