tipo_celular,module_size,UEVLD_MM,UEVLD_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.194,42.0,8,1,12.5,2.91 (NA-NA),7,87.5,1.04 (0.29-1.79)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.114,47.0,136,3,2.21,2.91 (NA-NA),133,97.79,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.109,16.0,353,22,6.23,1.74 (1.17-2.31),331,93.77,4.06 (3.88-4.24)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1316.0,0.084,15.0,101,3,2.97,3.38 (NA-NA),98,97.03,3.05 (2.69-3.40)
da like neurons 11,408.0,0.056,2.0,25,2,8.0,1.10 (-0.55-2.76),23,92.0,5.00 (3.67-6.34)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.074,9.0,297,1,0.34,4.81 (NA-NA),296,99.66,3.67 (3.46-3.87)
oligodendrocytes 20,938.0,0.101,37.0,169,20,11.83,2.89 (2.30-3.49),149,88.17,3.56 (3.32-3.79)
GABA like neurons 14,3052.0,0.1,18.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,603.0,0.047,19.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,3303.0,0.053,19.0,276,15,5.43,2.60 (1.86-3.35),261,94.57,3.60 (3.38-3.83)
oligodendrocytes 10,1277.0,0.069,23.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,118.0,0.284,41.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24)
astrocytes 15,338.0,0.141,44.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,82.0,0.216,61.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,72.0,0.299,37.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.151,63.0,104,10,9.62,1.65 (0.76-2.53),94,90.38,2.97 (2.69-3.26)
oligodendrocytes 0,2078.0,0.116,54.0,238,8,3.36,2.53 (1.07-3.99),230,96.64,3.66 (3.44-3.89)
microglia 1,1615.0,0.086,17.0,161,13,8.07,1.15 (0.58-1.72),148,91.93,3.50 (3.24-3.76)
oligodendrocytes 3,639.0,0.057,13.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,1630.0,0.133,32.0,154,2,1.3,NA,152,98.7,3.24 (2.98-3.51)
