tipo_celular,module_size,USP7_MM,USP7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.098,10.0,140,4,2.86,3.16 (0.98-5.33),136,97.14,4.57 (4.14-5.00)
T cells 18,477,0.166,53.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656,0.129,72.0,136,8,5.88,2.40 (1.61-3.19),128,94.12,3.27 (2.98-3.55)
oligodendrocyte progenitor cells 7,4285,0.157,82.0,353,91,25.78,2.77 (2.47-3.08),262,74.22,4.42 (4.22-4.61)
GABA neurons expressing GLU receptors 22,400,0.175,34.0,24,14,58.33,1.82 (1.04-2.59),10,41.67,2.63 (2.17-3.10)
GLU like neurons 17,380,0.19,63.0,39,10,25.64,3.87 (3.11-4.63),29,74.36,2.62 (1.95-3.28)
da like neurons 11,215,0.176,45.0,9,1,11.11,NA,8,88.89,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,77,0.172,52.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,1653,0.078,12.0,297,24,8.08,4.74 (3.98-5.50),273,91.92,3.59 (3.39-3.80)
oligodendrocytes 20,253,0.151,43.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2402,0.127,17.0,455,57,12.53,3.57 (2.99-4.14),398,87.47,4.50 (4.32-4.69)
astrocytes 8,520,0.069,23.0,288,30,10.42,3.90 (3.24-4.55),258,89.58,4.21 (4.01-4.42)
oligodendrocyte progenitor cells 12,3303,0.103,77.0,276,73,26.45,2.77 (2.47-3.06),203,73.55,3.93 (3.66-4.20)
oligodendrocytes 10,735,0.126,66.0,277,3,1.08,4.59 (3.44-5.73),274,98.92,3.88 (3.64-4.13)
connective tissue cells 21,125,0.275,40.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,1768,0.096,58.0,105,37,35.24,2.46 (2.07-2.85),68,64.76,3.66 (3.21-4.10)
oligodendrocytes 16,81,0.187,55.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,307,0.115,46.0,95,2,2.11,3.53 (2.33-4.72),93,97.89,4.88 (4.44-5.33)
astrocytes microglia 23,58,0.302,30.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.161,80.0,104,37,35.58,2.27 (1.89-2.66),67,64.42,3.22 (2.86-3.57)
oligodendrocytes 0,2078,0.132,85.0,238,36,15.13,3.40 (2.94-3.86),202,84.87,3.68 (3.43-3.93)
microglia 1,958,0.126,71.0,290,30,10.34,3.35 (2.80-3.91),260,89.66,3.88 (3.63-4.13)
oligodendrocytes 3,187,0.065,18.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,1630,0.151,70.0,154,4,2.6,3.29 (3.15-3.42),150,97.4,3.24 (2.97-3.51)
