tipo_celular,module_size,UBN2_MM,UBN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.169,58.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,727.0,0.179,77.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1141.0,0.128,44.0,166,7,4.22,2.17 (1.40-2.94),159,95.78,3.46 (3.20-3.71)
oligodendrocyte progenitor cells 7,4285.0,0.145,66.0,353,11,3.12,1.53 (0.81-2.24),342,96.88,3.99 (3.81-4.17)
GABA neurons expressing GLU receptors 22,203.0,0.222,35.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,1316.0,0.083,14.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,140.0,0.164,29.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.156,71.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,403.0,0.151,60.0,18,6,33.33,1.00 (0.20-1.80),12,66.67,2.32 (1.47-3.17)
GABA like neurons 14,1300.0,0.166,30.0,306,0,0.0,NA,306,100.0,5.09 (4.83-5.36)
astrocytes 8,283.0,0.171,68.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.114,85.0,276,6,2.17,2.44 (1.78-3.10),270,97.83,3.57 (3.35-3.80)
oligodendrocytes 10,2107.0,0.107,32.0,358,11,3.07,1.53 (0.81-2.24),347,96.93,3.96 (3.77-4.15)
connective tissue cells 21,95.0,0.255,35.0,4,0,0.0,NA,4,100.0,3.47 (2.36-4.59)
astrocytes 15,1768.0,0.16,94.0,105,4,3.81,2.01 (1.47-2.56),101,96.19,3.26 (2.92-3.61)
oligodendrocytes 16,155.0,0.174,24.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,121.0,0.281,31.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA)
astrocytes 4,752.0,0.17,75.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186.0,0.164,81.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,1615.0,0.134,80.0,161,11,6.83,1.53 (0.81-2.24),150,93.17,3.43 (3.16-3.70)
oligodendrocytes 3,854.0,0.095,57.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,804.0,0.128,21.0,84,0,0.0,NA,84,100.0,2.69 (2.35-3.02)
