tipo_celular,module_size,APLF_MM,APLF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.133,78.0,136,4,2.94,4.75 (2.39-7.11),132,97.06,3.16 (2.89-3.42)
oligodendrocyte progenitor cells 7,4285.0,0.099,9.0,353,56,15.86,2.56 (2.14-2.99),297,84.14,4.22 (4.03-4.40)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,358.0,0.097,29.0,31,2,6.45,2.85 (2.75-2.95),29,93.55,2.32 (1.86-2.78)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,354.0,0.028,1.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,708.0,0.079,34.0,32,12,37.5,1.84 (1.05-2.64),20,62.5,4.30 (3.27-5.32)
oligodendrocytes 10,2107.0,0.278,86.0,358,58,16.2,2.39 (1.99-2.78),300,83.8,4.25 (4.07-4.44)
connective tissue cells 21,102.0,0.263,32.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377.0,0.203,81.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45)
oligodendrocytes 16,65.0,0.189,41.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,100.0,0.239,21.0,9,1,11.11,2.53 (NA-NA),8,88.89,4.13 (3.05-5.21)
astrocytes 4,1807.0,0.133,29.0,104,20,19.23,1.89 (1.40-2.38),84,80.77,3.12 (2.81-3.42)
oligodendrocytes 0,2078.0,0.108,37.0,238,20,8.4,3.32 (2.58-4.07),218,91.6,3.67 (3.44-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.12,71.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,348.0,0.118,9.0,114,7,6.14,3.00 (2.69-3.31),107,93.86,5.31 (4.89-5.73)
