tipo_celular,module_size,PUS7_MM,PUS7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.249,87.0,97,3,3.09,4.32 (2.56-6.09),94,96.91,3.01 (2.61-3.41)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.08,10.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,703.0,0.322,97.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89)
GLU like neurons 17,1316.0,0.16,78.0,101,3,2.97,2.78 (2.51-3.05),98,97.03,3.06 (2.70-3.43)
da like neurons 11,140.0,0.121,15.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.1,26.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,938.0,0.052,13.0,169,8,4.73,2.27 (0.93-3.61),161,95.27,3.54 (3.33-3.76)
GABA like neurons 14,3052.0,0.109,25.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,283.0,0.126,43.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,2107.0,0.165,57.0,358,47,13.13,2.01 (1.64-2.39),311,86.87,4.25 (4.07-4.43)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,367.0,0.031,4.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,75.0,0.217,67.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.303,42.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,1807.0,0.118,11.0,104,24,23.08,1.75 (1.33-2.18),80,76.92,3.23 (2.93-3.53)
oligodendrocytes 0,1186.0,0.114,11.0,300,4,1.33,3.79 (2.84-4.74),296,98.67,3.79 (3.58-4.00)
microglia 1,813.0,0.188,91.0,79,2,2.53,4.00 (1.57-6.43),77,97.47,3.08 (2.67-3.48)
oligodendrocytes 3,681.0,0.101,56.0,87,30,34.48,1.93 (1.57-2.28),57,65.52,2.96 (2.62-3.29)
oligodendrocytes 2,1630.0,0.139,44.0,154,1,0.65,2.76 (NA-NA),153,99.35,3.25 (2.98-3.52)
