tipo_celular,module_size,ELOB_MM,ELOB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,393.0,0.186,68.0,59,2,3.39,3.21 (2.29-4.12),57,96.61,3.10 (2.58-3.62)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,448.0,0.244,85.0,108,2,1.85,5.57 (1.62-9.52),106,98.15,3.20 (2.76-3.63)
GABA neurons expressing GLU receptors 22,848.0,0.14,18.0,262,23,8.78,2.90 (2.27-3.52),239,91.22,4.30 (4.04-4.56)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.336,87.0,410,27,6.59,3.58 (2.98-4.17),383,93.41,4.31 (4.11-4.50)
GABA neurons expressing GABA receptors 13,417.0,0.164,52.0,213,36,16.9,2.38 (1.86-2.90),177,83.1,4.12 (3.88-4.37)
endothelial cells 9,916.0,0.51,92.0,302,9,2.98,4.79 (3.22-6.37),293,97.02,3.95 (3.72-4.17)
oligodendrocytes 20,938.0,0.216,84.0,169,18,10.65,2.86 (2.18-3.54),151,89.35,3.56 (3.33-3.78)
GABA like neurons 14,2402.0,0.664,98.0,455,50,10.99,3.06 (2.50-3.62),405,89.01,4.56 (4.38-4.75)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.354,94.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,735.0,0.181,83.0,277,1,0.36,4.81 (NA-NA),276,99.64,3.89 (3.65-4.13)
connective tissue cells 21,301.0,0.337,41.0,158,8,5.06,2.22 (1.10-3.33),150,94.94,4.37 (4.00-4.74)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,96.0,0.368,97.0,102,13,12.75,1.38 (1.03-1.73),89,87.25,3.71 (3.38-4.03)
da neurons 6,729.0,0.347,99.0,182,5,2.75,1.99 (1.28-2.69),177,97.25,3.69 (3.44-3.95)
astrocytes microglia 23,108.0,0.4,86.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.237,76.0,252,40,15.87,2.98 (2.31-3.65),212,84.13,4.36 (4.11-4.61)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.211,76.0,154,3,1.95,6.68 (5.75-7.62),151,98.05,3.54 (3.23-3.85)
oligodendrocytes 2,526.0,0.427,86.0,213,8,3.76,6.27 (5.45-7.09),205,96.24,3.86 (3.59-4.13)
