tipo_celular,module_size,METTL14_MM,METTL14_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,610.0,0.092,10.0,98,38,38.78,2.00 (1.65-2.35),60,61.22,3.97 (3.64-4.30)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.133,47.0,353,81,22.95,2.92 (2.55-3.28),272,77.05,4.29 (4.10-4.48)
GABA neurons expressing GLU receptors 22,703.0,0.247,82.0,23,3,13.04,2.29 (1.14-3.45),20,86.96,2.06 (1.25-2.87)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.054,4.0,275,79,28.73,2.79 (2.46-3.12),196,71.27,4.76 (4.46-5.06)
oligodendrocytes 20,322.0,0.016,1.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052.0,0.165,72.0,125,3,2.4,4.64 (3.18-6.09),122,97.6,3.31 (2.98-3.64)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.071,40.0,276,55,19.93,2.48 (2.13-2.82),221,80.07,3.91 (3.67-4.15)
oligodendrocytes 10,2107.0,0.047,5.0,358,91,25.42,2.81 (2.47-3.16),267,74.58,4.36 (4.17-4.56)
connective tissue cells 21,126.0,0.258,32.0,7,3,42.86,1.36 (0.78-1.94),4,57.14,1.65 (-0.44-3.74)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,84.0,0.148,27.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,109.0,0.31,49.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.141,94.0,238,30,12.61,4.02 (3.45-4.60),208,87.39,3.57 (3.33-3.81)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.076,28.0,111,14,12.61,5.06 (4.46-5.65),97,87.39,3.02 (2.67-3.38)
oligodendrocytes 2,1630.0,0.161,86.0,154,4,2.6,3.55 (1.96-5.13),150,97.4,3.24 (2.97-3.51)
