tipo_celular,module_size,CALU_MM,CALU_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.218,80.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,282.0,0.159,49.0,241,3,1.24,2.76 (1.92-3.59),238,98.76,4.08 (3.82-4.33)
astrocytes 5,1656.0,0.103,29.0,136,6,4.41,3.69 (3.53-3.85),130,95.59,3.18 (2.90-3.47)
oligodendrocyte progenitor cells 7,666.0,0.179,60.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17)
GABA neurons expressing GLU receptors 22,714.0,0.275,87.0,17,3,17.65,2.29 (2.29-2.29),14,82.35,2.31 (1.60-3.03)
GLU like neurons 17,489.0,0.106,27.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,140.0,0.151,22.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.128,68.0,275,11,4.0,1.13 (0.61-1.65),264,96.0,4.13 (3.87-4.38)
oligodendrocytes 20,938.0,0.076,25.0,169,5,2.96,2.45 (1.20-3.69),164,97.04,3.52 (3.30-3.74)
GABA like neurons 14,3052.0,0.082,9.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,283.0,0.114,36.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.086,59.0,276,8,2.9,2.32 (1.68-2.95),268,97.1,3.59 (3.37-3.81)
oligodendrocytes 10,483.0,0.089,36.0,129,1,0.78,3.96 (NA-NA),128,99.22,3.42 (3.03-3.82)
connective tissue cells 21,142.0,0.266,22.0,55,5,9.09,1.83 (0.21-3.45),50,90.91,3.76 (2.85-4.67)
astrocytes 15,1768.0,0.096,59.0,105,11,10.48,2.58 (1.95-3.20),94,89.52,3.29 (2.93-3.66)
oligodendrocytes 16,90.0,0.275,93.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,135.0,0.343,70.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.126,19.0,104,12,11.54,2.67 (1.98-3.36),92,88.46,2.89 (2.58-3.20)
oligodendrocytes 0,2078.0,0.128,79.0,238,1,0.42,3.31 (NA-NA),237,99.58,3.64 (3.42-3.86)
microglia 1,813.0,0.112,45.0,79,7,8.86,3.26 (2.60-3.91),72,91.14,3.08 (2.64-3.53)
oligodendrocytes 3,1003.0,0.058,11.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.175,97.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
