tipo_celular,module_size,EHMT2_MM,EHMT2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.104,12.0,353,60,17.0,2.16 (1.90-2.43),293,83.0,4.35 (4.17-4.53)
GABA neurons expressing GLU receptors 22,400.0,0.152,24.0,24,6,25.0,0.68 (0.17-1.19),18,75.0,2.65 (2.17-3.12)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,271.0,0.219,68.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2090.0,0.142,41.0,74,17,22.97,2.37 (2.04-2.69),57,77.03,3.12 (2.65-3.59)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.068,36.0,276,47,17.03,2.12 (1.88-2.37),229,82.97,3.92 (3.68-4.15)
oligodendrocytes 10,735.0,0.054,15.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,81.0,0.356,97.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.453,95.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.086,7.0,238,20,8.4,2.82 (2.32-3.31),218,91.6,3.72 (3.49-3.96)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.048,6.0,15,6,40.0,1.58 (0.48-2.67),9,60.0,4.80 (3.06-6.54)
oligodendrocytes 2,1630.0,0.134,33.0,154,2,1.3,3.35 (NA-NA),152,98.7,3.24 (2.98-3.51)
