tipo_celular,module_size,ANKFN1_MM,ANKFN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,117.0,0.208,75.0,28,0,0.0,NA,28,100.0,5.31 (4.72-5.89)
oligodendrocyte progenitor cells 7,200.0,0.19,57.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,599.0,0.315,88.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.106,17.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,279.0,0.391,99.0,78,4,5.13,4.49 (1.49-7.50),74,94.87,4.30 (3.90-4.71)
oligodendrocyte progenitor cells 12,411.0,0.082,42.0,103,2,1.94,4.07 (0.85-7.29),101,98.06,5.59 (5.20-5.97)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.527,94.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,141.0,0.207,21.0,30,3,10.0,1.82 (1.65-1.99),27,90.0,6.27 (5.57-6.97)
astrocytes 4,220.0,0.16,46.0,63,1,1.59,2.43 (NA-NA),62,98.41,5.19 (4.63-5.75)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
