tipo_celular,module_size,SHC3_MM,SHC3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,156.0,0.051,0.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.172,72.0,219,6,2.74,3.81 (2.65-4.97),213,97.26,5.27 (4.98-5.56)
GABA neurons expressing GLU receptors 22,823.0,0.163,41.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,795.0,0.079,15.0,80,3,3.75,3.14 (1.94-4.35),77,96.25,5.82 (5.42-6.22)
da like neurons 11,145.0,0.257,56.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.17,75.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.054,19.0,66,6,9.09,2.38 (0.87-3.88),60,90.91,3.33 (2.89-3.76)
oligodendrocyte progenitor cells 12,254.0,0.463,94.0,37,9,24.32,3.17 (2.57-3.78),28,75.68,5.04 (4.38-5.70)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.033,4.0,105,3,2.86,0.90 (-0.14-1.94),102,97.14,3.29 (2.95-3.62)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,62.0,0.445,97.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,201.0,0.247,88.0,18,2,11.11,2.53 (2.34-2.73),16,88.89,4.82 (3.91-5.74)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
