tipo_celular,module_size,SEC22C_MM,SEC22C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.099,25.0,136,3,2.21,3.89 (2.69-5.10),133,97.79,3.19 (2.92-3.47)
oligodendrocyte progenitor cells 7,4285.0,0.118,25.0,353,17,4.82,1.82 (1.09-2.56),336,95.18,4.03 (3.85-4.21)
GABA neurons expressing GLU receptors 22,599.0,0.096,4.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,1316.0,0.141,65.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,289.0,0.074,4.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.071,8.0,297,1,0.34,4.85 (NA-NA),296,99.66,3.67 (3.46-3.87)
oligodendrocytes 20,279.0,0.174,38.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,3052.0,0.17,76.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,354.0,0.061,15.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303.0,0.036,5.0,276,11,3.99,2.67 (1.90-3.43),265,96.01,3.59 (3.37-3.81)
oligodendrocytes 10,735.0,0.064,24.0,277,1,0.36,5.02 (NA-NA),276,99.64,3.89 (3.64-4.13)
connective tissue cells 21,101.0,0.138,3.0,116,8,6.9,2.16 (1.73-2.58),108,93.1,4.88 (4.46-5.29)
astrocytes 15,1768.0,0.072,35.0,105,8,7.62,2.38 (1.31-3.44),97,92.38,3.29 (2.94-3.64)
oligodendrocytes 16,85.0,0.173,25.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.338,57.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,1807.0,0.15,60.0,104,7,6.73,2.13 (0.77-3.50),97,93.27,2.92 (2.64-3.20)
oligodendrocytes 0,2078.0,0.118,57.0,238,6,2.52,2.95 (1.51-4.40),232,97.48,3.66 (3.43-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.065,24.0,76,2,2.63,4.38 (3.13-5.64),74,97.37,3.12 (2.72-3.53)
oligodendrocytes 2,1630.0,0.124,18.0,154,1,0.65,5.02 (NA-NA),153,99.35,3.23 (2.97-3.50)
