tipo_celular,module_size,SGTB_MM,SGTB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,477.0,0.132,30.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.116,23.0,353,16,4.53,2.51 (1.75-3.26),337,95.47,3.98 (3.79-4.16)
GABA neurons expressing GLU receptors 22,703.0,0.186,51.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1316.0,0.159,77.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,1220.0,0.187,52.0,410,17,4.15,4.37 (3.35-5.38),393,95.85,4.24 (4.05-4.43)
GABA neurons expressing GABA receptors 13,80.0,0.129,16.0,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,253.0,0.041,8.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2402.0,0.146,23.0,455,15,3.3,3.71 (2.59-4.83),440,96.7,4.37 (4.18-4.56)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.048,13.0,276,9,3.26,2.64 (1.66-3.63),267,96.74,3.58 (3.36-3.80)
oligodendrocytes 10,806.0,0.244,71.0,261,8,3.07,4.36 (2.76-5.97),253,96.93,4.36 (4.12-4.61)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,313.0,0.141,16.0,291,16,5.5,4.26 (3.32-5.21),275,94.5,4.33 (4.10-4.56)
da neurons 6,307.0,0.193,90.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,43.0,0.27,12.0,3,0,0.0,NA,3,100.0,1.82 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.095,15.0,238,3,1.26,2.25 (-0.22-4.71),235,98.74,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.117,52.0,345,17,4.93,4.30 (3.45-5.15),328,95.07,4.27 (4.06-4.49)
oligodendrocytes 2,1630.0,0.132,30.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
