tipo_celular,module_size,TMEM123_MM,TMEM123_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.27,76.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,282.0,0.132,16.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,423.0,0.112,22.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88)
oligodendrocyte progenitor cells 7,666.0,0.204,74.0,127,1,0.79,3.18 (NA-NA),126,99.21,3.84 (3.50-4.18)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.417,93.0,155,1,0.65,4.99 (NA-NA),154,99.35,4.33 (3.96-4.70)
oligodendrocytes 20,221.0,0.184,45.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,771.0,0.088,36.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.058,21.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64)
oligodendrocytes 10,483.0,0.184,70.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,95.0,0.28,52.0,4,0,0.0,NA,4,100.0,3.47 (2.36-4.59)
astrocytes 15,367.0,0.034,5.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,91.0,0.188,30.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,132.0,0.303,45.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,514.0,0.163,37.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,479.0,0.192,77.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,346.0,0.13,37.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,1003.0,0.151,85.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.241,66.0,114,2,1.75,2.53 (2.34-2.73),112,98.25,5.18 (4.77-5.59)
