tipo_celular,module_size,MX1_MM,MX1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.384,97.0,35,12,34.29,4.40 (3.71-5.08),23,65.71,3.40 (2.01-4.79)
T cells 18,282.0,0.078,9.0,241,9,3.73,2.93 (2.44-3.43),232,96.27,4.09 (3.83-4.35)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1316.0,0.059,5.0,101,2,1.98,2.32 (1.92-2.72),99,98.02,3.07 (2.71-3.43)
da like neurons 11,1220.0,0.105,17.0,410,29,7.07,3.41 (2.72-4.11),381,92.93,4.30 (4.11-4.49)
GABA neurons expressing GABA receptors 13,417.0,0.19,67.0,213,12,5.63,0.93 (0.54-1.32),201,94.37,3.98 (3.75-4.21)
endothelial cells 9,559.0,0.255,74.0,155,3,1.94,3.14 (2.59-3.69),152,98.06,4.36 (3.99-4.73)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.19,38.0,455,26,5.71,1.95 (1.14-2.75),429,94.29,4.47 (4.29-4.65)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,301.0,0.38,52.0,158,9,5.7,3.39 (2.12-4.65),149,94.3,4.33 (3.95-4.71)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,409.0,0.132,56.0,235,9,3.83,2.99 (1.49-4.49),226,96.17,4.01 (3.76-4.26)
astrocytes microglia 23,131.0,0.325,50.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,346.0,0.151,52.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
