tipo_celular,module_size,LAMA2_MM,LAMA2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.203,77.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,637.0,0.361,89.0,91,6,6.59,2.14 (1.20-3.09),85,93.41,4.77 (4.24-5.30)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.617,97.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58)
oligodendrocytes 20,298.0,0.89,100.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2402.0,0.207,44.0,455,3,0.66,2.57 (0.74-4.41),452,99.34,4.36 (4.17-4.54)
astrocytes 8,262.0,0.239,87.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,1277.0,0.212,94.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,147.0,0.436,100.0,4,1,25.0,5.06 (NA-NA),3,75.0,5.43 (4.83-6.04)
astrocytes 15,458.0,0.106,57.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,96.0,0.18,25.0,102,3,2.94,2.57 (0.74-4.41),99,97.06,3.37 (3.03-3.71)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.272,27.0,120,17,14.17,2.36 (1.92-2.80),103,85.83,3.87 (3.55-4.20)
astrocytes 4,514.0,0.183,50.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,479.0,0.395,100.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.395,100.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.262,72.0,114,8,7.02,3.02 (2.58-3.46),106,92.98,5.34 (4.92-5.76)
