tipo_celular,module_size,PLEKHA8_MM,PLEKHA8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.254,75.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,610.0,0.121,25.0,98,18,18.37,1.84 (1.26-2.43),80,81.63,3.45 (3.12-3.77)
astrocytes 5,1656.0,0.102,28.0,136,2,1.47,3.46 (3.18-3.74),134,98.53,3.20 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.151,74.0,353,32,9.07,2.35 (1.85-2.84),321,90.93,4.10 (3.91-4.28)
GABA neurons expressing GLU receptors 22,823.0,0.246,85.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,380.0,0.06,2.0,39,4,10.26,2.59 (1.76-3.42),35,89.74,3.01 (2.40-3.63)
da like neurons 11,140.0,0.17,31.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.117,25.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,275.0,0.539,99.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,3052.0,0.123,36.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,283.0,0.123,41.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.08,52.0,276,16,5.8,2.50 (2.07-2.94),260,94.2,3.63 (3.40-3.86)
oligodendrocytes 10,2107.0,0.147,50.0,358,25,6.98,2.19 (1.60-2.78),333,93.02,4.03 (3.84-4.23)
connective tissue cells 21,103.0,0.323,76.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,1401.0,0.122,77.0,96,1,1.04,2.00 (NA-NA),95,98.96,3.63 (3.18-4.09)
oligodendrocytes 16,121.0,0.226,58.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,58.0,0.311,39.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.165,75.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.091,10.0,238,4,1.68,2.06 (0.74-3.39),234,98.32,3.67 (3.45-3.89)
microglia 1,1615.0,0.106,45.0,161,18,11.18,1.71 (1.13-2.30),143,88.82,3.52 (3.25-3.79)
oligodendrocytes 3,1003.0,0.068,18.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.13,27.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
