tipo_celular,module_size,FBXL7_MM,FBXL7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.128,26.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,229.0,0.083,8.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,1069.0,0.215,82.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,637.0,0.402,92.0,91,7,7.69,1.10 (0.18-2.01),84,92.31,4.94 (4.46-5.42)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.235,97.0,297,17,5.72,4.01 (3.55-4.47),280,94.28,3.66 (3.44-3.87)
oligodendrocytes 20,676.0,0.483,77.0,110,4,3.64,4.43 (4.17-4.69),106,96.36,5.01 (4.55-5.47)
GABA like neurons 14,3052.0,0.128,40.0,125,7,5.6,3.79 (2.99-4.60),118,94.4,3.33 (3.00-3.67)
astrocytes 8,279.0,0.105,4.0,78,0,0.0,NA,78,100.0,4.31 (3.90-4.73)
oligodendrocyte progenitor cells 12,153.0,0.292,17.0,27,1,3.7,0.95 (NA-NA),26,96.3,5.08 (4.23-5.92)
oligodendrocytes 10,204.0,0.456,55.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17)
connective tissue cells 21,183.0,0.169,10.0,32,0,0.0,NA,32,100.0,5.12 (4.48-5.76)
astrocytes 15,418.0,0.16,54.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,287.0,0.19,23.0,105,1,0.95,4.29 (NA-NA),104,99.05,5.09 (4.63-5.54)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,59.0,0.154,2.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,220.0,0.078,3.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69)
oligodendrocytes 0,187.0,0.06,0.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.088,43.0,87,16,18.39,2.10 (1.51-2.69),71,81.61,2.70 (2.40-3.01)
oligodendrocytes 2,348.0,0.202,52.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52)
