tipo_celular,module_size,TALDO1_MM,TALDO1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.078,5.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.197,68.0,164,3,1.83,3.80 (3.18-4.43),161,98.17,4.09 (3.76-4.43)
GABA neurons expressing GLU receptors 22,703.0,0.191,54.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.159,42.0,410,19,4.63,3.50 (3.06-3.94),391,95.37,4.29 (4.09-4.48)
GABA neurons expressing GABA receptors 13,417.0,0.228,82.0,213,26,12.21,2.24 (1.56-2.92),187,87.79,3.99 (3.75-4.23)
endothelial cells 9,916.0,0.222,55.0,302,11,3.64,3.46 (2.80-4.13),291,96.36,4.01 (3.77-4.24)
oligodendrocytes 20,938.0,0.234,88.0,169,16,9.47,3.22 (2.45-3.99),153,90.53,3.51 (3.28-3.74)
GABA like neurons 14,2402.0,0.368,76.0,455,25,5.49,2.29 (1.60-2.99),430,94.51,4.48 (4.30-4.67)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.201,85.0,235,11,4.68,3.76 (3.46-4.06),224,95.32,3.83 (3.58-4.07)
oligodendrocytes 10,483.0,0.227,75.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,158.0,0.177,34.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,409.0,0.199,78.0,235,16,6.81,4.00 (3.16-4.85),219,93.19,3.97 (3.71-4.23)
astrocytes microglia 23,161.0,0.328,54.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.222,73.0,252,24,9.52,2.25 (1.54-2.96),228,90.48,4.31 (4.06-4.55)
microglia 1,406.0,0.165,44.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63)
oligodendrocytes 3,303.0,0.047,3.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.386,81.0,213,7,3.29,3.78 (3.58-3.98),206,96.71,3.99 (3.70-4.27)
