tipo_celular,module_size,EZR_MM,EZR_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.329,88.0,102,49,48.04,2.82 (2.47-3.17),53,51.96,4.14 (3.57-4.71)
T cells 18,518.0,0.235,88.0,131,4,3.05,3.73 (2.63-4.82),127,96.95,3.05 (2.77-3.33)
astrocytes 5,499.0,0.072,1.0,32,3,9.38,4.73 (4.73-4.73),29,90.62,5.06 (4.51-5.60)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.2,46.0,62,7,11.29,4.13 (2.63-5.63),55,88.71,4.04 (3.57-4.51)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,262.0,0.139,50.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,112.0,0.233,46.0,7,2,28.57,2.00 (1.71-2.28),5,71.43,1.94 (0.81-3.06)
astrocytes 15,367.0,0.042,9.0,17,1,5.88,2.91 (NA-NA),16,94.12,2.03 (1.01-3.05)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.356,60.0,120,61,50.83,2.95 (2.56-3.33),59,49.17,4.32 (3.93-4.70)
astrocytes 4,721.0,0.151,49.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,480.0,0.289,83.0,163,27,16.56,3.74 (3.26-4.23),136,83.44,3.70 (3.40-4.00)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
