tipo_celular,module_size,GABRB2_MM,GABRB2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.108,15.0,353,9,2.55,1.46 (0.78-2.13),344,97.45,3.97 (3.79-4.16)
GABA neurons expressing GLU receptors 22,848.0,0.157,26.0,262,26,9.92,3.70 (3.09-4.31),236,90.08,4.22 (3.95-4.48)
GLU like neurons 17,489.0,0.271,87.0,42,10,23.81,4.79 (4.54-5.04),32,76.19,6.51 (5.83-7.19)
da like neurons 11,108.0,0.252,67.0,5,2,40.0,NA,3,60.0,4.24 (3.33-5.15)
GABA neurons expressing GABA receptors 13,357.0,0.317,91.0,237,11,4.64,5.53 (3.30-7.76),226,95.36,4.38 (4.15-4.61)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.045,1.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,411.0,0.086,45.0,103,11,10.68,4.87 (3.88-5.86),92,89.32,5.66 (5.24-6.07)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.191,94.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
