tipo_celular,module_size,LMO3_MM,LMO3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.13,48.0,166,7,4.22,1.85 (0.53-3.16),159,95.78,3.47 (3.22-3.72)
oligodendrocyte progenitor cells 7,436.0,0.09,23.0,219,5,2.28,2.93 (2.67-3.19),214,97.72,5.28 (4.99-5.56)
GABA neurons expressing GLU receptors 22,1069.0,0.213,81.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,1247.0,0.172,73.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,191.0,0.204,38.0,93,0,0.0,NA,93,100.0,5.65 (5.25-6.05)
GABA neurons expressing GABA receptors 13,200.0,0.172,63.0,34,1,2.94,3.41 (NA-NA),33,97.06,3.91 (2.99-4.82)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.125,38.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,260.0,0.238,93.0,4,3,75.0,1.99 (0.00-3.99),1,25.0,NA
oligodendrocyte progenitor cells 12,143.0,0.523,100.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443.0,0.181,72.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,228.0,0.319,98.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,140.0,0.253,14.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,220.0,0.167,53.0,63,7,11.11,2.72 (2.27-3.18),56,88.89,5.54 (4.98-6.10)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
