tipo_celular,module_size,SLX4IP_MM,SLX4IP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.146,38.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,610.0,0.152,52.0,98,1,1.02,1.95 (NA-NA),97,98.98,3.13 (2.81-3.45)
astrocytes 5,1141.0,0.155,80.0,166,1,0.6,0.55 (NA-NA),165,99.4,3.41 (3.16-3.66)
oligodendrocyte progenitor cells 7,4285.0,0.159,84.0,353,2,0.57,1.25 (-0.12-2.62),351,99.43,3.91 (3.72-4.09)
GABA neurons expressing GLU receptors 22,1069.0,0.229,88.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,637.0,0.161,52.0,91,1,1.1,1.95 (NA-NA),90,98.9,4.58 (4.05-5.10)
da like neurons 11,87.0,0.08,3.0,3,0,0.0,NA,3,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.161,75.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,330.0,0.359,95.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,3052.0,0.18,82.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577.0,0.05,17.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,3303.0,0.151,99.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,2107.0,0.204,70.0,358,2,0.56,1.25 (-0.12-2.62),356,99.44,3.88 (3.69-4.07)
connective tissue cells 21,183.0,0.245,40.0,32,0,0.0,NA,32,100.0,5.12 (4.48-5.76)
astrocytes 15,443.0,0.125,30.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,51.0,0.132,4.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,111.0,0.247,12.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.16,60.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,309.0,0.148,67.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,813.0,0.116,50.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,854.0,0.16,94.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,804.0,0.218,97.0,84,0,0.0,NA,84,100.0,2.69 (2.35-3.02)
