tipo_celular,module_size,CAMK1D_MM,CAMK1D_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.252,57.0,140,26,18.57,4.22 (3.69-4.75),114,81.43,4.65 (4.32-4.98)
T cells 18,477.0,0.14,36.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,499.0,0.125,25.0,32,1,3.12,5.16 (NA-NA),31,96.88,5.02 (4.50-5.54)
oligodendrocyte progenitor cells 7,666.0,0.191,66.0,127,12,9.45,2.25 (1.58-2.91),115,90.55,4.09 (3.74-4.43)
GABA neurons expressing GLU receptors 22,599.0,0.348,94.0,22,2,9.09,2.36 (-0.42-5.14),20,90.91,2.23 (1.38-3.08)
GLU like neurons 17,1247.0,0.211,86.0,51,3,5.88,2.62 (1.48-3.76),48,94.12,3.70 (3.09-4.31)
da like neurons 11,82.0,0.504,99.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.206,91.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.323,93.0,306,49,16.01,3.89 (3.35-4.42),257,83.99,5.45 (5.17-5.73)
astrocytes 8,1266.0,0.215,96.0,66,27,40.91,2.93 (2.24-3.61),39,59.09,3.50 (3.00-4.00)
oligodendrocyte progenitor cells 12,3303.0,0.109,82.0,276,40,14.49,2.16 (1.86-2.47),236,85.51,3.87 (3.63-4.10)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,152.0,0.28,63.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,1401.0,0.075,40.0,96,14,14.58,4.13 (3.12-5.13),82,85.42,3.50 (3.00-4.00)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.26,37.0,99,20,20.2,4.86 (4.08-5.65),79,79.8,4.13 (3.77-4.49)
astrocytes 4,251.0,0.176,60.0,34,1,2.94,NA,33,97.06,5.25 (4.63-5.86)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,315.0,0.226,72.0,144,19,13.19,4.27 (3.50-5.05),125,86.81,4.49 (4.16-4.83)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
