tipo_celular,module_size,PPID_MM,PPID_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.188,74.0,71,12,16.9,2.38 (1.70-3.06),59,83.1,2.68 (2.19-3.16)
T cells 18,518.0,0.122,25.0,131,3,2.29,3.32 (2.27-4.37),128,97.71,3.07 (2.79-3.35)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.2,72.0,127,16,12.6,3.29 (1.94-4.64),111,87.4,3.93 (3.61-4.25)
GABA neurons expressing GLU receptors 22,487.0,0.287,74.0,73,6,8.22,1.76 (1.18-2.34),67,91.78,2.86 (2.45-3.27)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.116,22.0,410,30,7.32,4.30 (3.58-5.02),380,92.68,4.24 (4.05-4.44)
GABA neurons expressing GABA receptors 13,73.0,0.235,88.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17)
endothelial cells 9,385.0,0.187,89.0,275,72,26.18,2.69 (2.34-3.05),203,73.82,4.65 (4.37-4.94)
oligodendrocytes 20,322.0,0.374,96.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2402.0,0.236,52.0,455,45,9.89,3.22 (2.53-3.92),410,90.11,4.50 (4.32-4.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.085,59.0,276,49,17.75,2.17 (1.93-2.41),227,82.25,3.96 (3.72-4.20)
oligodendrocytes 10,735.0,0.122,64.0,277,13,4.69,6.41 (5.78-7.04),264,95.31,3.80 (3.56-4.04)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,71.0,0.203,68.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
da neurons 6,409.0,0.115,45.0,235,11,4.68,2.55 (1.60-3.49),224,95.32,4.05 (3.79-4.30)
astrocytes microglia 23,161.0,0.362,80.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.154,61.0,127,29,22.83,2.80 (2.35-3.25),98,77.17,3.15 (2.60-3.70)
microglia 1,958.0,0.156,92.0,290,38,13.1,3.49 (2.85-4.13),252,86.9,3.87 (3.63-4.12)
oligodendrocytes 3,681.0,0.042,4.0,87,53,60.92,2.43 (2.10-2.76),34,39.08,2.84 (2.37-3.31)
oligodendrocytes 2,1630.0,0.201,100.0,154,1,0.65,4.40 (NA-NA),153,99.35,3.24 (2.97-3.50)
