tipo_celular,module_size,SFT2D1_MM,SFT2D1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.172,61.0,71,0,0.0,NA,71,100.0,2.62 (2.21-3.03)
T cells 18,610.0,0.115,22.0,98,1,1.02,1.95 (NA-NA),97,98.98,3.13 (2.81-3.45)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.136,52.0,353,2,0.57,1.25 (-0.12-2.62),351,99.43,3.91 (3.72-4.09)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.069,12.0,275,2,0.73,1.25 (-0.12-2.62),273,99.27,3.98 (3.72-4.24)
oligodendrocytes 20,938.0,0.058,16.0,169,1,0.59,0.55 (NA-NA),168,99.41,3.50 (3.29-3.72)
GABA like neurons 14,2402.0,0.175,33.0,455,1,0.22,0.55 (NA-NA),454,99.78,4.35 (4.17-4.54)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.039,7.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,483.0,0.084,33.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,104.0,0.345,81.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,91.0,0.192,42.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,115.0,0.211,1.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.164,69.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,958.0,0.092,20.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04)
oligodendrocytes 3,743.0,0.097,69.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528.0,0.242,71.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73)
