tipo_celular,module_size,SAP30BP_MM,SAP30BP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.052,2.0,73,1,1.37,2.98 (NA-NA),72,98.63,3.57 (3.22-3.92)
T cells 18,610.0,0.15,50.0,98,12,12.24,1.56 (0.91-2.22),86,87.76,3.36 (3.05-3.68)
astrocytes 5,1656.0,0.083,8.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.137,53.0,353,16,4.53,1.49 (0.96-2.03),337,95.47,4.03 (3.85-4.21)
GABA neurons expressing GLU receptors 22,599.0,0.201,44.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,853.0,0.107,33.0,133,11,8.27,1.52 (0.90-2.14),122,91.73,3.44 (3.12-3.76)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.054,2.0,302,1,0.33,6.33 (NA-NA),301,99.67,3.97 (3.74-4.20)
oligodendrocytes 20,938.0,0.107,40.0,169,1,0.59,0.55 (NA-NA),168,99.41,3.50 (3.29-3.72)
GABA like neurons 14,2090.0,0.175,64.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,603.0,0.044,15.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,3303.0,0.044,10.0,276,10,3.62,2.03 (1.48-2.58),266,96.38,3.62 (3.39-3.84)
oligodendrocytes 10,483.0,0.025,2.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,118.0,0.349,71.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,338.0,0.148,50.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,75.0,0.18,46.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,409.0,0.076,14.0,235,3,1.28,2.29 (2.29-2.29),232,98.72,4.01 (3.75-4.26)
astrocytes microglia 23,42.0,0.424,91.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.121,13.0,104,9,8.65,1.97 (1.28-2.65),95,91.35,2.95 (2.66-3.25)
oligodendrocytes 0,2078.0,0.11,41.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,958.0,0.103,38.0,290,2,0.69,1.57 (1.57-1.57),288,99.31,3.83 (3.60-4.06)
oligodendrocytes 3,1003.0,0.059,11.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.107,5.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
