tipo_celular,module_size,CAT_MM,CAT_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.135,81.0,136,5,3.68,1.23 (NA-NA),131,96.32,3.23 (2.95-3.50)
oligodendrocyte progenitor cells 7,4285.0,0.112,19.0,353,36,10.2,1.84 (1.46-2.21),317,89.8,4.15 (3.97-4.33)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.081,12.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58)
oligodendrocytes 20,358.0,0.222,78.0,31,1,3.23,2.80 (NA-NA),30,96.77,2.34 (1.90-2.79)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,727.0,0.03,2.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,708.0,0.397,92.0,32,15,46.88,1.94 (1.09-2.79),17,53.12,4.22 (3.18-5.27)
oligodendrocytes 10,483.0,0.284,81.0,129,5,3.88,4.31 (3.88-4.73),124,96.12,3.40 (3.00-3.80)
connective tissue cells 21,118.0,0.288,46.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24)
astrocytes 15,268.0,0.05,21.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,82.0,0.167,40.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,78.0,0.222,4.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.18,97.0,104,15,14.42,1.75 (1.25-2.25),89,85.58,3.07 (2.77-3.37)
oligodendrocytes 0,2078.0,0.148,98.0,238,7,2.94,2.04 (0.94-3.14),231,97.06,3.68 (3.46-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.074,26.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.144,54.0,154,1,0.65,1.82 (NA-NA),153,99.35,3.26 (2.99-3.52)
