tipo_celular,module_size,NECTIN3_MM,NECTIN3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,388.0,0.199,73.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,1141.0,0.142,66.0,166,2,1.2,0.38 (0.04-0.71),164,98.8,3.44 (3.19-3.68)
oligodendrocyte progenitor cells 7,666.0,0.065,3.0,127,5,3.94,3.79 (2.79-4.79),122,96.06,3.83 (3.48-4.19)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,289.0,0.201,57.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.111,37.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,330.0,0.113,23.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,3052.0,0.109,24.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,354.0,0.184,81.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,218.0,0.42,98.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,1277.0,0.145,71.0,27,1,3.7,5.62 (NA-NA),26,96.3,5.39 (4.48-6.31)
connective tissue cells 21,118.0,0.272,35.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,1768.0,0.057,20.0,105,6,5.71,2.07 (0.90-3.24),99,94.29,3.29 (2.94-3.63)
oligodendrocytes 16,51.0,0.244,62.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,121.0,0.239,9.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA)
astrocytes 4,787.0,0.164,74.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,613.0,0.145,52.0,127,5,3.94,3.49 (3.00-3.98),122,96.06,3.02 (2.58-3.46)
microglia 1,958.0,0.145,87.0,290,6,2.07,3.16 (2.45-3.88),284,97.93,3.83 (3.60-4.07)
oligodendrocytes 3,854.0,0.093,55.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,347.0,0.145,20.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
