tipo_celular,module_size,DTWD2_MM,DTWD2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.125,24.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.134,80.0,136,7,5.15,2.78 (1.52-4.05),129,94.85,3.23 (2.96-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.146,66.0,353,25,7.08,1.68 (1.16-2.20),328,92.92,4.11 (3.94-4.29)
GABA neurons expressing GLU receptors 22,1069.0,0.201,75.0,37,3,8.11,1.90 (1.43-2.38),34,91.89,2.18 (1.68-2.68)
GLU like neurons 17,1316.0,0.14,65.0,101,3,2.97,2.78 (2.51-3.05),98,97.03,3.06 (2.70-3.43)
da like neurons 11,71.0,0.449,90.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,348.0,0.446,99.0,33,3,9.09,3.61 (2.08-5.14),30,90.91,2.64 (2.13-3.14)
GABA like neurons 14,3052.0,0.034,1.0,125,2,1.6,4.08 (1.96-6.21),123,98.4,3.34 (3.01-3.66)
astrocytes 8,727.0,0.102,46.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.147,98.0,276,16,5.8,1.93 (1.40-2.47),260,94.2,3.67 (3.45-3.90)
oligodendrocytes 10,2107.0,0.096,26.0,358,25,6.98,1.68 (1.16-2.20),333,93.02,4.09 (3.90-4.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.088,51.0,105,12,11.43,1.61 (1.10-2.13),93,88.57,3.44 (3.09-3.79)
oligodendrocytes 16,78.0,0.162,28.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,157.0,0.239,9.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.142,44.0,104,18,17.31,1.62 (1.25-2.00),86,82.69,3.15 (2.85-3.45)
oligodendrocytes 0,2078.0,0.133,87.0,238,10,4.2,3.06 (2.02-4.10),228,95.8,3.67 (3.44-3.89)
microglia 1,1615.0,0.085,15.0,161,22,13.66,1.31 (0.97-1.66),139,86.34,3.66 (3.41-3.92)
oligodendrocytes 3,1003.0,0.076,28.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.105,5.0,154,1,0.65,5.16 (NA-NA),153,99.35,3.23 (2.96-3.50)
