tipo_celular,module_size,ATP6V0E2_MM,ATP6V0E2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.414,95.0,241,31,12.86,4.48 (3.93-5.04),210,87.14,3.99 (3.71-4.26)
astrocytes 5,228.0,0.236,75.0,266,81,30.45,3.61 (3.25-3.96),185,69.55,4.41 (4.16-4.66)
oligodendrocyte progenitor cells 7,628.0,0.284,89.0,164,24,14.63,4.27 (3.71-4.83),140,85.37,4.04 (3.66-4.42)
GABA neurons expressing GLU receptors 22,848.0,0.397,91.0,262,24,9.16,3.68 (2.97-4.39),238,90.84,4.23 (3.97-4.49)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.507,97.0,410,55,13.41,3.85 (3.44-4.26),355,86.59,4.33 (4.12-4.54)
GABA neurons expressing GABA receptors 13,417.0,0.247,89.0,213,27,12.68,2.47 (1.88-3.06),186,87.32,4.01 (3.76-4.26)
endothelial cells 9,338.0,0.318,87.0,191,51,26.7,4.25 (3.87-4.63),140,73.3,3.74 (3.47-4.01)
oligodendrocytes 20,358.0,0.128,38.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2402.0,0.766,100.0,455,46,10.11,3.47 (2.87-4.06),409,89.89,4.47 (4.28-4.66)
astrocytes 8,520.0,0.345,91.0,288,58,20.14,4.08 (3.66-4.50),230,79.86,4.20 (3.97-4.43)
oligodendrocyte progenitor cells 12,1049.0,0.101,55.0,235,19,8.09,3.84 (3.47-4.21),216,91.91,3.82 (3.57-4.08)
oligodendrocytes 10,806.0,0.472,95.0,261,49,18.77,3.99 (3.61-4.37),212,81.23,4.47 (4.18-4.76)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,268.0,0.089,51.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,313.0,0.333,79.0,291,74,25.43,3.94 (3.65-4.24),217,74.57,4.49 (4.20-4.78)
da neurons 6,729.0,0.245,87.0,182,7,3.85,3.54 (2.78-4.29),175,96.15,3.64 (3.38-3.90)
astrocytes microglia 23,99.0,0.434,94.0,3,1,33.33,1.74 (NA-NA),2,66.67,1.91 (0.04-3.78)
astrocytes 4,157.0,0.262,72.0,178,52,29.21,3.59 (3.04-4.14),126,70.79,4.42 (4.14-4.71)
oligodendrocytes 0,546.0,0.184,58.0,252,34,13.49,2.97 (2.40-3.54),218,86.51,4.33 (4.06-4.59)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.255,90.0,345,58,16.81,4.15 (3.78-4.51),287,83.19,4.31 (4.06-4.55)
oligodendrocytes 2,526.0,0.298,59.0,213,6,2.82,4.28 (3.28-5.27),207,97.18,3.97 (3.69-4.25)
